Matrix Service PE Ratio Historical Data,Matrix Service PE Ratio Historical Data,Matrix Service PE Ratio Historical Data,Matrix Service PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.09,,0.0
2024-12-31,11.97,$-1.22,0.0
2024-09-30,11.53,$-1.12,0.0
2024-06-30,9.93,$-0.91,0.0
2024-03-31,13.03,$-0.76,0.0
2023-12-31,9.78,$-0.70,0.0
2023-09-30,11.8,$-1.82,0.0
2023-06-30,5.89,$-1.94,0.0
2023-03-31,5.4,$-1.43,0.0
2022-12-31,6.22,$-2.26,0.0
2022-09-30,4.14,$-1.97,0.0
2022-06-30,5.06,$-2.39,0.0
2022-03-31,8.22,$-3.29,0.0
2021-12-31,7.52,$-2.48,0.0
2021-09-30,10.46,$-1.72,0.0
2021-06-30,10.5,$-1.18,0.0
2021-03-31,13.11,$-1.00,0.0
2020-12-31,11.02,$-0.72,0.0
2020-09-30,8.35,$-1.59,0.0
2020-06-30,9.72,$-1.25,0.0
2020-03-31,9.47,$-0.56,0.0
2019-12-31,22.88,$-0.02,0.0
2019-09-30,17.14,$1.16,14.78
2019-06-30,20.26,$1.02,19.86
2019-03-31,19.58,0,0.0
2018-12-31,17.94,$-0.52,0.0
2018-09-30,24.65,$-0.49,0.0
2018-06-30,18.35,$-0.43,0.0
2018-03-31,13.7,$0.08,171.25
2017-12-31,17.8,$-0.25,0.0
2017-09-30,15.2,$-0.22,0.0
2017-06-30,9.35,$-0.01,0.0
2017-03-31,16.5,$0.37,44.59
2016-12-31,22.7,$1.05,21.62
2016-09-30,18.76,$1.05,17.87
2016-06-30,16.49,$1.07,15.41
2016-03-31,17.7,$1.13,15.66
2015-12-31,20.54,$0.86,23.88
2015-09-30,22.47,$0.78,28.81
2015-06-30,18.28,$0.63,29.02
2015-03-31,17.56,$0.51,34.43
2014-12-31,22.32,$1.04,21.46
2014-09-30,24.12,$1.30,18.55
2014-06-30,32.79,$1.33,24.65
2014-03-31,33.78,$1.33,25.4
2013-12-31,24.43,$1.16,21.06
2013-09-30,19.62,$0.99,19.82
2013-06-30,15.58,$0.92,16.93
2013-03-31,14.9,$0.71,20.99
2012-12-31,11.5,$0.65,17.69
2012-09-30,10.58,$0.71,14.9
2012-06-30,11.33,$0.66,17.17
2012-03-31,14.01,$0.80,17.51
2011-12-31,9.44,$0.79,11.95
2011-09-30,8.51,$0.72,11.82
2011-06-30,13.38,$0.71,18.85
2011-03-31,13.9,$0.34,40.88
2010-12-31,12.18,$0.16,76.13
2010-09-30,8.76,$0.13,67.38
2010-06-30,9.31,$0.18,51.72
2010-03-31,10.76,$0.34,31.65
2009-12-31,10.65,$0.50,21.3
2009-09-30,10.87,$0.33,32.94
