Albemarle PE Ratio Historical Data,Albemarle PE Ratio Historical Data,Albemarle PE Ratio Historical Data,Albemarle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,77.03,,0.0
2024-12-31,86.08,$-11.20,0.0
2024-09-30,94.33,$-16.75,0.0
2024-06-30,94.69,$-4.73,0.0
2024-03-31,130.1,$2.75,47.31
2023-12-31,142.2,$13.34,10.66
2023-09-30,166.9,$28.20,5.92
2023-06-30,218.5,$33.24,6.57
2023-03-31,216.12,$31.18,6.93
2022-12-31,211.64,$22.82,9.27
2022-09-30,257.65,$13.19,19.53
2022-06-30,203.33,$2.22,91.59
2022-03-31,214.83,$2.38,90.26
2021-12-31,226.63,$1.07,211.8
2021-09-30,211.92,$1.89,112.13
2021-06-30,162.76,$6.17,26.38
2021-03-31,140.84,$3.35,42.04
2020-12-31,141.86,$3.52,40.3
2020-09-30,85.62,$3.58,23.92
2020-06-30,73.76,$4.12,17.9
2020-03-31,53.58,$4.77,11.23
2019-12-31,69.01,$5.02,13.75
2019-09-30,65.33,$5.38,12.14
2019-06-30,65.82,$5.12,12.86
2019-03-31,76.25,$6.40,11.91
2018-12-31,71.37,$6.32,11.29
2018-09-30,92.05,$3.16,29.13
2018-06-30,86.74,$3.02,28.72
2018-03-31,84.97,$1.21,70.22
2017-12-31,116.79,$0.48,243.3
2017-09-30,124.16,$7.73,16.06
2017-06-30,95.89,$7.80,12.29
2017-03-31,95.71,$4.10,23.34
2016-12-31,77.75,$5.67,13.71
2016-09-30,76.96,$1.92,40.08
2016-06-30,71.11,$1.37,51.91
2016-03-31,57.1,$4.61,12.39
2015-12-31,49.77,$2.99,16.65
2015-09-30,38.95,$1.20,32.46
2015-06-30,48.48,$1.55,31.28
2015-03-31,46.13,$1.37,33.67
2014-12-31,52.21,$1.68,31.08
2014-09-30,50.9,$3.83,13.29
2014-06-30,61.53,$4.01,15.34
2014-03-31,56.94,$4.71,12.09
2013-12-31,54.11,$4.94,10.95
2013-09-30,53.54,$3.45,15.52
2013-06-30,52.78,$3.44,15.34
2013-03-31,52.77,$2.88,18.32
2012-12-31,52.24,$3.14,16.64
2012-09-30,44.16,$3.83,11.53
2012-06-30,49.81,$4.01,12.42
2012-03-31,53.2,$4.82,11.04
2011-12-31,42.74,$4.77,8.96
2011-09-30,33.4,$4.58,7.29
2011-06-30,57.01,$4.32,13.2
2011-03-31,49.11,$3.98,12.34
2010-12-31,45.7,$3.52,12.98
2010-09-30,38.25,$3.28,11.66
2010-06-30,32.34,$2.83,11.43
2010-03-31,34.61,$2.36,14.66
2009-12-31,29.43,$1.95,15.09
