Lotus Technology PE Ratio Historical Data,Lotus Technology PE Ratio Historical Data,Lotus Technology PE Ratio Historical Data,Lotus Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.5,,0.0
2024-09-30,5.07,$-1.56,0.0
2024-06-30,6.62,$-1.22,0.0
2024-03-31,6.82,$-0.84,0.0
2023-12-31,10.78,$-0.48,0.0
2023-09-30,10.67,$0.04,266.75
2023-06-30,10.46,$0.02,523.0
2023-03-31,10.23,$0.07,146.07
2022-12-31,10.1,$0.31,32.58
2022-09-30,9.91,$0.28,35.39
2022-06-30,9.84,$0.36,27.33
2022-03-31,9.75,$0.23,42.39
