Oil-Dri Of America PE Ratio Historical Data,Oil-Dri Of America PE Ratio Historical Data,Oil-Dri Of America PE Ratio Historical Data,Oil-Dri Of America PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,47.1,,20.98
2025-01-31,42.02,$2.25,18.72
2024-10-31,67.56,$3.10,21.83
2024-07-31,64.51,$2.72,23.72
2024-04-30,68.38,$2.97,23.02
2024-01-31,63.87,$3.06,20.91
2023-10-31,56.04,$2.49,22.55
2023-07-31,61.13,$2.13,28.77
2023-04-30,40.99,$1.68,24.47
2023-01-31,34.84,$0.90,38.93
2022-10-31,28.1,$0.76,37.22
2022-07-31,28.39,$0.41,70.09
2022-04-30,23.24,$0.06,387.39
2022-01-31,31.43,$0.38,82.71
2021-10-31,31.93,$0.55,58.58
2021-07-31,32.37,$0.79,41.23
2021-04-30,31.56,$1.16,27.2
2021-01-31,31.1,$1.31,23.83
2020-10-31,30.4,$1.32,23.12
2020-07-31,30.73,$1.27,24.29
2020-04-30,32.79,$1.10,29.81
2020-01-31,30.83,$1.17,26.47
2019-10-31,30.27,$1.00,30.27
2019-07-31,30.64,$0.83,36.91
2019-04-30,27.31,$0.76,35.94
2019-01-31,22.59,$0.63,35.86
2018-10-31,26.13,$0.41,64.52
2018-07-31,35.59,$0.55,64.7
2018-04-30,32.36,$0.46,70.35
2018-01-31,32.28,$0.44,73.35
2017-10-31,34.68,$0.81,43.08
2017-07-31,33.95,$0.74,45.88
2017-04-30,33.2,$1.01,32.87
2017-01-31,27.28,$0.73,37.63
2016-10-31,27.22,$0.70,38.89
2016-07-31,30.01,$0.95,31.76
2016-04-30,26.55,$0.94,28.25
2016-01-31,29.68,$1.10,26.98
2015-10-31,24.66,$1.03,23.95
2015-07-31,20.45,$0.80,25.73
2015-04-30,25.4,$0.48,53.47
2015-01-31,23.55,$0.43,54.76
2014-10-31,23.06,$0.54,43.1
2014-07-31,22.14,$0.59,37.52
2014-04-30,25.28,$0.89,28.41
2014-01-31,25.77,$1.07,24.08
2013-10-31,26.5,$0.93,28.65
2013-07-31,23.64,$1.04,22.74
2013-04-30,20.42,$0.70,29.38
2013-01-31,20.59,$0.60,34.61
2012-10-31,16.25,$0.67,24.43
2012-07-31,15.66,$0.42,37.28
2012-04-30,14.98,$0.63,23.78
2012-01-31,14.74,$0.63,23.4
2011-10-31,13.96,$0.53,26.34
2011-07-31,14.27,$0.63,22.66
2011-04-30,15.12,$0.60,25.42
2011-01-31,12.95,$0.64,20.24
2010-10-31,14.82,$0.67,22.12
2010-07-31,14.63,$0.65,22.68
2010-04-30,13.61,$0.66,20.78
2010-01-31,10.45,$0.65,16.2
2009-10-31,9.96,$0.66,15.21
