Loews PE Ratio Historical Data,Loews PE Ratio Historical Data,Loews PE Ratio Historical Data,Loews PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,88.18,,13.78
2024-12-31,84.69,$6.40,13.23
2024-09-30,78.99,$7.53,10.49
2024-06-30,74.63,$6.83,10.93
2024-03-31,78.17,$6.74,11.6
2023-12-31,69.43,$6.30,11.02
2023-09-30,63.1,$5.84,10.81
2023-06-30,59.13,$5.26,11.24
2023-03-31,57.71,$4.41,13.09
2022-12-31,57.96,$4.16,13.93
2022-09-30,49.47,$4.00,12.37
2022-06-30,58.76,$4.31,13.63
2022-03-31,64.21,$6.44,9.97
2021-12-31,57.15,$6.05,9.45
2021-09-30,53.31,$6.13,8.7
2021-06-30,53.96,$5.78,9.34
2021-03-31,50.58,$-0.04,0.0
2020-12-31,44.35,$-3.21,0.0
2020-09-30,34.18,$-3.93,0.0
2020-06-30,33.67,$-4.19,0.0
2020-03-31,34.14,$-0.41,0.0
2019-12-31,51.38,$3.06,16.79
2019-09-30,50.33,$1.80,27.96
2019-06-30,53.38,$2.44,21.88
2019-03-31,46.74,$2.34,19.98
2018-12-31,44.33,$1.96,22.62
2018-09-30,48.86,$3.92,12.46
2018-06-30,46.9,$3.50,13.4
2018-03-31,48.25,$3.47,13.9
2017-12-31,48.48,$3.45,14.05
2017-09-30,46.32,$2.81,16.48
2017-06-30,45.24,$3.32,13.63
2017-03-31,45.14,$2.44,18.5
2016-12-31,45.14,$1.87,24.14
2016-09-30,39.61,$0.50,79.22
2016-06-30,39.49,$0.03,1316.43
2016-03-31,36.72,$0.68,53.99
2015-12-31,36.79,$0.67,54.91
2015-09-30,34.57,$1.80,19.2
2015-06-30,36.77,$1.85,19.88
2015-03-31,38.92,$1.69,23.03
2014-12-31,40.0,$1.55,25.81
2014-09-30,39.6,$0.49,80.81
2014-06-30,41.77,$0.67,62.35
2014-03-31,41.75,$1.06,39.39
2013-12-31,45.65,$1.53,29.84
2013-09-30,44.18,$1.96,22.54
2013-06-30,41.91,$1.68,24.94
2013-03-31,41.54,$1.13,36.76
2012-12-31,38.3,$1.43,26.78
2012-09-30,38.72,$2.18,17.76
2012-06-30,38.33,$2.13,18.0
2012-03-31,37.3,$2.61,14.29
2011-12-31,35.16,$2.61,13.47
2011-09-30,32.21,$3.06,10.53
2011-06-30,39.18,$2.75,14.25
2011-03-31,40.05,$3.00,13.35
2010-12-31,36.11,$3.07,11.76
2010-09-30,35.11,$2.89,12.15
2010-06-30,30.81,$3.88,7.94
2010-03-31,34.41,$3.79,9.08
2009-12-31,33.5,$1.31,25.57
