Pyxis Tankers PE Ratio Historical Data,Pyxis Tankers PE Ratio Historical Data,Pyxis Tankers PE Ratio Historical Data,Pyxis Tankers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.3,,1.18
2024-09-30,4.95,$2.80,1.77
2024-06-30,5.09,$2.75,1.85
2024-03-31,4.77,$2.55,1.87
2023-12-31,4.17,$2.96,1.41
2023-09-30,3.72,$1.73,2.15
2023-06-30,3.78,$1.89,2.0
2023-03-31,4.91,$2.04,2.41
2022-12-31,4.82,$1.24,3.89
2022-09-30,3.85,$0.15,25.67
2022-06-30,2.78,$-0.67,0.0
2022-03-31,2.09,$-1.21,0.0
2021-12-31,1.92,$-1.40,0.0
2021-09-30,3.04,$-1.32,0.0
2021-06-30,3.46,$-1.28,0.0
2021-03-31,4.12,$-1.36,0.0
2020-12-31,3.32,$-1.32,0.0
2020-09-30,3.16,$-1.52,0.0
2020-06-30,3.04,$-1.32,0.0
2020-03-31,3.03,$-1.40,0.0
2019-12-31,4.53,$-1.60,0.0
2019-09-30,6.0,$-1.56,0.0
2019-06-30,4.24,$-2.20,0.0
2019-03-31,4.64,$-2.12,0.0
2018-12-31,3.99,$-1.56,0.0
2018-09-30,3.68,$-1.24,0.0
2018-06-30,4.28,$-0.72,0.0
2018-03-31,3.92,$-0.64,0.0
2017-12-31,12.88,$-1.12,0.0
2017-09-30,7.68,$-2.08,0.0
2017-06-30,6.76,$-2.12,0.0
2017-03-31,9.1,$-1.88,0.0
2016-12-31,10.4,$-1.28,0.0
2016-09-30,11.52,$0.12,95.99
