RTX PE Ratio Historical Data,RTX PE Ratio Historical Data,RTX PE Ratio Historical Data,RTX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,134.47,,37.88
2024-12-31,115.72,$3.55,32.6
2024-09-30,120.52,$3.50,34.43
2024-06-30,99.33,$1.73,57.42
2024-03-31,95.92,$2.55,37.62
2023-12-31,82.21,$2.24,36.7
2023-09-30,69.8,$2.15,32.47
2023-06-30,94.36,$3.77,25.03
2023-03-31,93.75,$3.75,25.0
2022-12-31,96.09,$3.50,27.45
2022-09-30,77.49,$3.00,25.83
2022-06-30,90.45,$2.99,30.25
2022-03-31,92.67,$2.79,33.22
2021-12-31,80.07,$2.57,31.16
2021-09-30,79.51,$2.20,36.14
2021-06-30,78.43,$1.44,54.46
2021-03-31,70.62,$-1.79,0.0
2020-12-31,64.93,$-2.39,0.0
2020-09-30,51.86,$-1.16,0.0
2020-06-30,55.12,$0.00,0.0
2020-03-31,83.65,$4.75,17.61
2019-12-31,132.17,$6.41,20.62
2019-09-30,119.89,$5.92,20.25
2019-06-30,114.34,$6.13,18.65
2019-03-31,112.58,$6.49,17.35
2018-12-31,92.46,$6.55,14.12
2018-09-30,120.71,$6.22,19.41
2018-06-30,107.39,$6.35,16.91
2018-03-31,107.46,$5.59,19.22
2017-12-31,108.37,$5.70,19.01
2017-09-30,98.03,$6.45,15.2
2017-06-30,102.51,$6.56,15.63
2017-03-31,93.69,$6.41,14.62
2016-12-31,90.99,$6.11,14.89
2016-09-30,83.81,$8.72,9.61
2016-06-30,84.09,$8.48,9.92
2016-03-31,81.54,$8.56,9.53
2015-12-31,77.69,$8.71,8.92
2015-09-30,71.5,$6.47,11.05
2015-06-30,88.55,$6.97,12.7
2015-03-31,93.05,$7.08,13.14
2014-12-31,90.81,$6.82,13.32
2014-09-30,82.94,$6.80,12.2
2014-06-30,90.17,$6.33,14.25
2014-03-31,90.8,$6.20,14.65
2013-12-31,87.98,$6.27,14.03
2013-09-30,82.9,$6.93,11.96
2013-06-30,71.1,$6.92,10.27
2013-03-31,71.07,$6.68,10.64
2012-12-31,62.02,$5.66,10.96
2012-09-30,58.78,$4.87,12.07
2012-06-30,56.32,$4.78,11.78
2012-03-31,61.45,$4.76,12.91
2011-12-31,53.84,$5.50,9.79
2011-09-30,51.51,$5.34,9.65
2011-06-30,64.37,$5.17,12.45
2011-03-31,61.23,$4.92,12.44
2010-12-31,56.66,$4.74,11.95
2010-09-30,50.97,$4.58,11.13
2010-06-30,46.17,$4.42,10.45
2010-03-31,52.05,$4.27,12.19
2009-12-31,48.78,$4.12,11.84
