RXO INC PE Ratio Historical Data,RXO INC PE Ratio Historical Data,RXO INC PE Ratio Historical Data,RXO INC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.94,,0.0
2024-12-31,23.84,$-2.12,0.0
2024-09-30,28.0,$-1.98,0.0
2024-06-30,26.15,$-0.18,0.0
2024-03-31,21.87,$-0.09,0.0
2023-12-31,23.26,$0.04,581.5
2023-09-30,19.73,$-0.01,0.0
