Sixth Street Specialty Lending PE Ratio Historical Data,Sixth Street Specialty Lending PE Ratio Historical Data,Sixth Street Specialty Lending PE Ratio Historical Data,Sixth Street Specialty Lending PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.36,,11.01
2024-12-31,21.3,$2.03,10.49
2024-09-30,20.04,$2.06,9.73
2024-06-30,20.33,$2.36,8.61
2024-03-31,19.97,$2.48,8.05
2023-12-31,19.61,$2.60,7.54
2023-09-30,18.11,$2.59,6.99
2023-06-30,16.14,$2.28,7.08
2023-03-31,15.39,$1.50,10.26
2022-12-31,14.51,$1.36,10.67
2022-09-30,12.99,$1.36,9.55
2022-06-30,14.38,$1.63,8.82
2022-03-31,17.68,$2.52,7.02
2021-12-31,17.36,$2.76,6.29
2021-09-30,15.8,$2.98,5.3
2021-06-30,15.49,$3.49,4.44
2021-03-31,14.37,$4.18,3.44
2020-12-31,13.11,$2.63,4.99
2020-09-30,10.61,$2.41,4.4
2020-06-30,9.93,$1.66,5.98
2020-03-31,7.95,$0.95,8.37
2019-12-31,11.94,$2.34,5.1
2019-09-30,11.42,$1.99,5.74
2019-06-30,10.45,$2.10,4.98
2019-03-31,10.45,$1.90,5.5
2018-12-31,9.22,$1.87,4.93
2018-09-30,10.18,$2.09,4.87
2018-06-30,8.75,$1.93,4.54
2018-03-31,8.5,$1.94,4.38
2017-12-31,9.21,$1.85,4.98
2017-09-30,9.54,$1.96,4.87
2017-06-30,9.09,$2.17,4.19
2017-03-31,8.71,$2.48,3.51
2016-12-31,7.98,$2.33,3.43
2016-09-30,7.58,$1.70,4.46
2016-06-30,6.8,$1.25,5.44
2016-03-31,6.45,$1.04,6.2
2015-12-31,6.34,$1.17,5.42
2015-09-30,6.27,$1.51,4.15
2015-06-30,6.34,$1.69,3.75
2015-03-31,6.28,$1.57,4.0
2014-12-31,6.0,$1.73,3.47
