INVESCO MORTGAGE CAPITAL INC PE Ratio Historical Data,INVESCO MORTGAGE CAPITAL INC PE Ratio Historical Data,INVESCO MORTGAGE CAPITAL INC PE Ratio Historical Data,INVESCO MORTGAGE CAPITAL INC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.74,,13.45
2024-12-31,8.05,$0.65,12.38
2024-09-30,8.96,$1.20,7.47
2024-06-30,8.55,$-1.05,0.0
2024-03-31,8.45,$-0.70,0.0
2023-12-31,7.74,$-0.80,0.0
2023-09-30,8.01,$-0.42,0.0
2023-06-30,9.17,$-1.58,0.0
2023-03-31,8.26,$-5.07,0.0
2022-12-31,9.02,$-12.66,0.0
2022-09-30,7.4,$-15.80,0.0
2022-06-30,9.22,$-11.32,0.0
2022-03-31,13.7,$-11.20,0.0
2021-12-31,16.2,$-4.90,0.0
2021-09-30,17.85,$3.30,5.41
2021-06-30,21.58,$6.90,3.13
2021-03-31,21.7,$-7.70,0.0
2020-12-31,17.86,$-110.60,0.0
2020-09-30,14.07,$-109.00,0.0
2020-06-30,19.31,$-108.60,0.0
2020-03-31,15.0,$-90.00,0.0
2019-12-31,66.16,$24.30,2.72
2019-09-30,59.08,$1.40,42.2
2019-06-30,60.44,$-10.10,0.0
2019-03-31,57.62,$-3.50,0.0
2018-12-31,51.35,$-10.30,0.0
2018-09-30,54.44,$16.90,3.22
2018-06-30,53.29,$27.00,1.97
2018-03-31,53.5,$23.90,2.24
2017-12-31,56.76,$27.50,2.06
2017-09-30,53.27,$37.20,1.43
2017-06-30,50.73,$43.40,1.17
2017-03-31,45.72,$38.30,1.19
2016-12-31,42.18,$17.10,2.47
2016-09-30,42.83,$3.70,11.58
2016-06-30,37.53,$-18.60,0.0
2016-03-31,32.45,$-7.20,0.0
2015-12-31,31.92,$4.00,7.98
2015-09-30,30.58,$-10.50,0.0
2015-06-30,34.72,$3.80,9.14
2015-03-31,36.57,$-14.20,0.0
2014-12-31,35.37,$-17.50,0.0
2014-09-30,34.96,$-17.40,0.0
2014-06-30,37.44,$-20.50,0.0
2014-03-31,34.51,$-3.40,0.0
2013-12-31,29.85,$9.00,3.32
2013-09-30,30.27,$23.00,1.32
2013-06-30,31.56,$30.80,1.02
2013-03-31,39.22,$28.10,1.4
2012-12-31,35.08,$28.90,1.21
2012-09-30,34.72,$27.80,1.25
2012-06-30,29.94,$28.50,1.05
2012-03-31,27.82,$31.40,0.89
2011-12-31,20.62,$34.30,0.6
2011-09-30,19.83,$37.40,0.53
2011-06-30,28.27,$39.60,0.71
2011-03-31,27.95,$39.00,0.72
2010-12-31,26.73,$36.60,0.73
2010-09-30,25.21,$37.10,0.68
2010-06-30,22.42,$33.00,0.68
