Edgewell Personal Care PE Ratio Historical Data,Edgewell Personal Care PE Ratio Historical Data,Edgewell Personal Care PE Ratio Historical Data,Edgewell Personal Care PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.59,,16.17
2024-12-31,33.6,$1.83,18.36
2024-09-30,36.2,$1.96,18.47
2024-06-30,39.88,$2.36,16.9
2024-03-31,38.34,$2.39,16.04
2023-12-31,36.2,$2.04,17.75
2023-09-30,36.37,$2.18,16.68
2023-06-30,40.49,$2.25,18.0
2023-03-31,41.43,$1.81,22.89
2022-12-31,37.51,$1.87,20.06
2022-09-30,36.27,$1.84,19.71
2022-06-30,33.35,$2.00,16.67
2022-03-31,35.27,$2.17,16.26
2021-12-31,43.78,$2.00,21.89
2021-09-30,34.64,$2.12,16.34
2021-06-30,41.74,$1.70,24.55
2021-03-31,37.53,$1.05,35.74
2020-12-31,32.61,$1.15,28.36
2020-09-30,26.18,$1.24,21.11
2020-06-30,29.26,$1.61,18.18
2020-03-31,22.61,$-6.64,0.0
2019-12-31,29.07,$-6.11,0.0
2019-09-30,30.51,$-6.53,0.0
2019-06-30,25.31,$-6.92,0.0
2019-03-31,41.22,$1.46,28.23
2018-12-31,35.07,$1.77,19.82
2018-09-30,43.41,$1.90,22.85
2018-06-30,47.39,$-1.07,0.0
2018-03-31,45.85,$-0.34,0.0
2017-12-31,55.77,$-0.40,0.0
2017-09-30,68.34,$0.06,1138.95
2017-06-30,71.39,$3.55,20.11
2017-03-31,68.68,$3.21,21.4
2016-12-31,68.54,$3.17,21.62
2016-09-30,74.68,$2.98,25.06
2016-06-30,79.27,$-1.47,0.0
2016-03-31,75.62,$-3.25,0.0
2015-12-31,73.6,$-5.76,0.0
2015-09-30,76.63,$-4.46,0.0
2015-06-30,91.67,$0.47,195.03
2015-03-31,95.85,$2.67,35.9
2014-12-31,88.94,$5.65,15.74
2014-09-30,84.89,$5.67,14.97
2014-06-30,83.73,$5.97,14.03
2014-03-31,68.82,$6.32,10.89
2013-12-31,73.56,$6.10,12.06
2013-09-30,61.66,$6.46,9.54
2013-06-30,67.65,$6.64,10.19
2013-03-31,66.86,$6.32,10.58
2012-12-31,53.38,$6.14,8.69
2012-09-30,49.53,$6.22,7.96
2012-06-30,49.67,$5.05,9.84
2012-03-31,48.96,$4.92,9.95
2011-12-31,51.14,$4.30,11.89
2011-09-30,43.85,$3.70,11.85
2011-06-30,47.76,$4.23,11.29
2011-03-31,46.97,$4.77,9.85
2010-12-31,48.12,$5.47,8.8
2010-09-30,44.37,$5.70,7.78
2010-06-30,33.19,$5.03,6.6
2010-03-31,41.42,$4.69,8.83
2009-12-31,40.45,$4.74,8.53
