Northrim BanCorp Inc PE Ratio Historical Data,Northrim BanCorp Inc PE Ratio Historical Data,Northrim BanCorp Inc PE Ratio Historical Data,Northrim BanCorp Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,73.71,,15.78
2024-12-31,77.94,$4.67,16.69
2024-09-30,71.22,$5.86,12.15
2024-06-30,57.1,$5.77,9.9
2024-03-31,49.48,$5.13,9.64
2023-12-31,55.36,$4.49,12.33
2023-09-30,37.93,$4.78,7.93
2023-06-30,37.1,$5.06,7.33
2023-03-31,43.87,$4.91,8.93
2022-12-31,50.15,$5.27,9.52
2022-09-30,37.84,$5.10,7.42
2022-06-30,36.21,$4.76,7.61
2022-03-31,38.81,$5.26,7.38
2021-12-31,38.35,$6.00,6.39
2021-09-30,37.19,$6.28,5.92
2021-06-30,37.06,$6.70,5.53
2021-03-31,36.55,$6.89,5.31
2020-12-31,28.96,$5.11,5.67
2020-09-30,21.52,$4.21,5.11
2020-06-30,20.96,$3.48,6.02
2020-03-31,22.21,$2.58,8.61
2019-12-31,31.13,$3.04,10.24
2019-09-30,31.98,$3.04,10.52
2019-06-30,28.48,$2.68,10.63
2019-03-31,27.25,$2.90,9.4
2018-12-31,25.81,$2.86,9.03
2018-09-30,32.37,$2.20,14.71
2018-06-30,30.63,$2.24,13.67
2018-03-31,26.6,$1.91,13.92
2017-12-31,25.89,$1.88,13.77
2017-09-30,26.57,$2.36,11.26
2017-06-30,22.94,$2.01,11.41
2017-03-31,22.52,$2.13,10.57
2016-12-31,23.51,$2.06,11.41
2016-09-30,19.02,$2.14,8.89
2016-06-30,19.27,$2.47,7.8
2016-03-31,17.39,$2.53,6.88
2015-12-31,19.2,$2.56,7.5
2015-09-30,20.74,$2.94,7.06
2015-06-30,18.25,$2.70,6.76
2015-03-31,17.36,$2.64,6.57
2014-12-31,18.42,$2.53,7.28
2014-09-30,18.44,$1.96,9.41
2014-06-30,17.71,$1.96,9.03
2014-03-31,17.67,$1.86,9.5
2013-12-31,17.92,$1.87,9.59
2013-09-30,16.35,$1.95,8.39
2013-06-30,16.29,$2.04,7.99
2013-03-31,15.03,$1.99,7.55
2012-12-31,15.05,$1.97,7.64
2012-09-30,13.29,$1.99,6.68
2012-06-30,14.08,$1.75,8.05
2012-03-31,14.02,$1.76,7.96
2011-12-31,11.33,$1.74,6.51
2011-09-30,12.43,$1.52,8.18
2011-06-30,12.11,$1.63,7.43
2011-03-31,12.03,$1.47,8.18
2010-12-31,12.18,$1.39,8.76
2010-09-30,10.4,$1.41,7.37
2010-06-30,9.63,$1.22,7.89
2010-03-31,10.56,$1.18,8.95
2009-12-31,10.37,$1.20,8.64
