Harley-Davidson PE Ratio Historical Data,Harley-Davidson PE Ratio Historical Data,Harley-Davidson PE Ratio Historical Data,Harley-Davidson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.24,,7.58
2024-12-31,30.13,$3.33,9.05
2024-09-30,38.33,$4.44,8.63
2024-06-30,33.22,$4.91,6.76
2024-03-31,43.32,$4.50,9.63
2023-12-31,36.31,$4.82,7.53
2023-09-30,32.42,$4.92,6.59
2023-06-30,34.35,$5.32,6.46
2023-03-31,36.86,$5.56,6.63
2022-12-31,40.24,$4.97,8.1
2022-09-30,33.63,$4.83,6.96
2022-06-30,30.41,$4.10,7.42
2022-03-31,37.66,$3.97,9.49
2021-12-31,35.89,$4.20,8.55
2021-09-30,34.73,$3.43,10.12
2021-06-30,43.29,$3.16,13.7
2021-03-31,37.77,$1.23,30.7
2020-12-31,34.42,$0.00,0.0
2020-09-30,23.0,$0.72,31.95
2020-06-30,22.27,$0.49,45.44
2020-03-31,17.72,$2.32,7.64
2019-12-31,34.37,$2.67,12.87
2019-09-30,32.92,$2.58,12.76
2019-06-30,32.45,$2.71,11.97
2019-03-31,31.94,$2.93,10.9
2018-12-31,30.25,$3.16,9.57
2018-09-30,39.74,$3.21,12.38
2018-06-30,36.61,$2.93,12.49
2018-03-31,36.98,$2.96,12.49
2017-12-31,43.54,$2.98,14.61
2017-09-30,40.95,$3.20,12.8
2017-06-30,45.54,$3.44,13.24
2017-03-31,50.65,$3.51,14.43
2016-12-31,48.53,$3.82,12.7
2016-09-30,43.5,$3.77,11.54
2016-06-30,37.21,$3.82,9.74
2016-03-31,41.83,$3.71,11.28
2015-12-31,36.66,$3.62,10.13
2015-09-30,44.05,$3.75,11.75
2015-06-30,44.95,$3.75,11.99
2015-03-31,48.18,$3.93,12.26
2014-12-31,52.03,$3.87,13.45
2014-09-30,45.76,$3.86,11.85
2014-06-30,54.68,$3.90,14.02
2014-03-31,51.95,$3.49,14.88
2013-12-31,53.77,$3.27,16.44
2013-09-30,49.73,$3.24,15.35
2013-06-30,42.3,$3.10,13.64
2013-03-31,40.97,$2.96,13.84
2012-12-31,37.39,$2.71,13.8
2012-09-30,32.34,$2.86,11.31
2012-06-30,34.77,$3.05,11.4
2012-03-31,37.2,$2.79,13.33
2011-12-31,29.36,$2.56,11.47
2011-09-30,25.85,$1.90,13.6
2011-06-30,30.74,$1.50,20.49
2011-03-31,31.77,$0.99,32.09
2010-12-31,25.86,$0.62,41.71
2010-09-30,21.15,$-0.12,0.0
2010-06-30,16.48,$-0.39,0.0
2010-03-31,20.73,$-0.61,0.0
2009-12-31,18.54,$-0.25,0.0
