RBB Bancorp PE Ratio Historical Data,RBB Bancorp PE Ratio Historical Data,RBB Bancorp PE Ratio Historical Data,RBB Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.07,,9.23
2024-09-30,22.86,$1.85,12.35
2024-06-30,18.55,$2.09,8.87
2024-03-31,17.6,$2.28,7.72
2023-12-31,18.45,$2.43,7.59
2023-09-30,12.21,$2.71,4.51
2023-06-30,11.28,$2.95,3.83
2023-03-31,14.46,$3.17,4.56
2022-12-31,19.3,$3.33,5.8
2022-09-30,19.12,$3.20,5.97
2022-06-30,18.9,$3.10,6.1
2022-03-31,21.34,$2.97,7.18
2021-12-31,23.67,$2.86,8.28
2021-09-30,22.67,$2.63,8.62
2021-06-30,21.66,$2.29,9.46
2021-03-31,18.02,$1.95,9.24
2020-12-31,13.57,$1.65,8.23
2020-09-30,9.94,$1.61,6.17
2020-06-30,11.91,$1.57,7.58
2020-03-31,11.92,$1.74,6.85
2019-12-31,18.28,$1.92,9.52
2019-09-30,16.92,$1.90,8.9
2019-06-30,16.53,$1.99,8.31
2019-03-31,15.99,$2.03,7.88
2018-12-31,14.87,$2.04,7.29
2018-09-30,20.73,$1.83,11.33
2018-06-30,27.0,$1.77,15.26
