Avient PE Ratio Historical Data,Avient PE Ratio Historical Data,Avient PE Ratio Historical Data,Avient PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.65,,21.67
2024-12-31,40.86,$1.83,22.33
2024-09-30,50.04,$1.62,30.89
2024-06-30,43.17,$1.27,33.99
2024-03-31,42.67,$1.15,37.1
2023-12-31,40.61,$0.83,48.93
2023-09-30,34.28,$6.50,5.27
2023-06-30,39.44,$6.33,6.23
2023-03-31,39.45,$7.01,5.63
2022-12-31,32.15,$7.70,4.18
2022-09-30,28.64,$2.04,14.04
2022-06-30,37.65,$2.72,13.84
2022-03-31,44.83,$2.54,17.65
2021-12-31,52.0,$2.49,20.88
2021-09-30,42.88,$2.98,14.39
2021-06-30,45.28,$2.43,18.63
2021-03-31,43.35,$1.94,22.34
2020-12-31,36.78,$1.46,25.19
2020-09-30,24.03,$6.65,3.61
2020-06-30,23.65,$7.19,3.29
2020-03-31,16.97,$7.48,2.27
2019-12-31,32.48,$7.59,4.28
2019-09-30,28.64,$1.73,16.56
2019-06-30,27.38,$1.79,15.3
2019-03-31,25.4,$1.88,13.51
2018-12-31,24.62,$1.97,12.5
2018-09-30,37.39,$2.29,16.33
2018-06-30,36.82,$2.14,17.2
2018-03-31,36.07,$-0.69,0.0
2017-12-31,36.76,$-0.70,0.0
2017-09-30,33.69,$-0.76,0.0
2017-06-30,32.48,$-0.73,0.0
2017-03-31,28.48,$2.06,13.83
2016-12-31,26.66,$1.95,13.67
2016-09-30,28.02,$1.59,17.62
2016-06-30,29.1,$1.59,18.3
2016-03-31,24.9,$1.74,14.31
2015-12-31,26.03,$1.62,16.07
2015-09-30,23.96,$1.42,16.87
2015-06-30,31.89,$1.27,25.11
2015-03-31,30.33,$0.87,34.86
2014-12-31,30.7,$0.84,36.55
2014-09-30,28.74,$1.25,22.99
2014-06-30,33.96,$1.14,29.79
2014-03-31,29.49,$2.63,11.21
2013-12-31,28.37,$2.48,11.44
2013-09-30,24.59,$2.26,10.88
2013-06-30,19.8,$2.29,8.65
2013-03-31,19.46,$0.73,26.66
2012-12-31,16.24,$0.79,20.55
2012-09-30,13.14,$0.89,14.77
2012-06-30,10.82,$0.85,12.73
2012-03-31,11.34,$0.88,12.89
2011-12-31,9.06,$1.80,5.04
2011-09-30,8.38,$2.67,3.14
2011-06-30,12.06,$2.45,4.92
2011-03-31,11.05,$2.62,4.22
2010-12-31,9.68,$1.67,5.8
2010-09-30,9.37,$0.92,10.18
2010-06-30,6.52,$1.44,4.53
2010-03-31,7.94,$1.01,7.86
2009-12-31,5.79,$0.72,8.04
