Capitol Federal Financial PE Ratio Historical Data,Capitol Federal Financial PE Ratio Historical Data,Capitol Federal Financial PE Ratio Historical Data,Capitol Federal Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.75,,14.74
2024-12-31,5.91,$0.39,15.15
2024-09-30,5.76,$0.29,19.87
2024-06-30,5.34,$-0.93,0.0
2024-03-31,5.7,$-0.94,0.0
2023-12-31,6.09,$-0.94,0.0
2023-09-30,4.43,$-0.84,0.0
2023-06-30,5.66,$0.43,13.16
2023-03-31,6.08,$0.53,11.47
2022-12-31,7.74,$0.58,13.34
2022-09-30,7.09,$0.62,11.44
2022-06-30,7.78,$0.62,12.55
2022-03-31,8.95,$0.59,15.16
2021-12-31,9.24,$0.58,15.94
2021-09-30,9.14,$0.56,16.32
2021-06-30,9.3,$0.55,16.91
2021-03-31,10.06,$0.56,17.97
2020-12-31,9.43,$0.44,21.44
2020-09-30,6.87,$0.46,14.93
2020-06-30,8.09,$0.49,16.52
2020-03-31,8.47,$0.52,16.3
2019-12-31,9.96,$0.67,14.86
2019-09-30,9.7,$0.69,14.05
2019-06-30,9.63,$0.69,13.95
2019-03-31,9.11,$0.69,13.2
2018-12-31,8.66,$0.68,12.73
2018-09-30,8.32,$0.74,11.25
2018-06-30,8.54,$0.73,11.7
2018-03-31,7.82,$0.72,10.86
2017-12-31,8.43,$0.71,11.88
2017-09-30,8.99,$0.62,14.5
2017-06-30,8.64,$0.63,13.72
2017-03-31,8.69,$0.62,14.02
2016-12-31,9.73,$0.62,15.69
2016-09-30,8.12,$0.63,12.89
2016-06-30,8.0,$0.61,13.12
2016-03-31,7.42,$0.60,12.37
2015-12-31,6.98,$0.58,12.03
2015-09-30,6.56,$0.57,11.5
2015-06-30,6.47,$0.58,11.16
2015-03-31,6.54,$0.58,11.27
2014-12-31,6.64,$0.58,11.45
2014-09-30,5.98,$0.55,10.87
2014-06-30,6.11,$0.51,11.98
2014-03-31,6.15,$0.50,12.29
2013-12-31,5.89,$0.48,12.27
2013-09-30,5.8,$0.48,12.09
2013-06-30,5.63,$0.48,11.74
2013-03-31,5.56,$0.47,11.84
2012-12-31,5.35,$0.47,11.39
2012-09-30,5.13,$0.47,10.92
2012-06-30,5.07,$0.46,11.01
2012-03-31,5.03,$0.44,11.44
2011-12-31,4.86,$0.42,11.57
2011-09-30,4.38,$0.23,19.03
2011-06-30,4.84,$0.22,22.01
2011-03-31,4.61,$0.22,20.95
2010-12-31,4.61,$0.21,21.95
2010-09-30,4.08,$0.41,9.96
2010-06-30,5.4,$0.42,12.85
2010-03-31,6.02,$0.41,14.57
2009-12-31,4.98,$0.43,11.49
