NETGEAR PE Ratio Historical Data,NETGEAR PE Ratio Historical Data,NETGEAR PE Ratio Historical Data,NETGEAR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.19,,60.48
2024-12-31,27.87,$0.40,69.68
2024-09-30,20.06,$0.65,30.86
2024-06-30,15.3,$-5.12,0.0
2024-03-31,15.77,$-3.85,0.0
2023-12-31,14.58,$-3.55,0.0
2023-09-30,12.59,$-3.70,0.0
2023-06-30,14.16,$-0.73,0.0
2023-03-31,18.51,$-0.74,0.0
2022-12-31,18.11,$-2.36,0.0
2022-09-30,20.04,$-2.18,0.0
2022-06-30,18.52,$-1.97,0.0
2022-03-31,24.68,$-1.10,0.0
2021-12-31,29.21,$1.57,18.61
2021-09-30,31.91,$2.59,12.32
2021-06-30,38.32,$3.11,12.32
2021-03-31,41.1,$2.74,15.0
2020-12-31,40.63,$1.88,21.61
2020-09-30,30.82,$0.88,35.02
2020-06-30,25.89,$0.44,58.84
2020-03-31,22.84,$0.27,84.59
2019-12-31,24.51,$0.80,30.64
2019-09-30,32.22,$0.42,76.71
2019-06-30,25.29,$0.33,76.64
2019-03-31,33.12,$0.13,254.77
2018-12-31,52.03,$-0.09,0.0
2018-09-30,62.85,$-0.72,0.0
2018-06-30,62.5,$-0.38,0.0
2018-03-31,57.2,$0.23,248.7
2017-12-31,58.75,$0.53,110.85
2017-09-30,47.6,$2.20,21.64
2017-06-30,43.1,$2.18,19.77
2017-03-31,49.55,$2.22,22.32
2016-12-31,54.35,$2.25,24.16
2016-09-30,60.49,$2.26,26.77
2016-06-30,47.54,$2.11,22.53
2016-03-31,40.37,$1.74,23.2
2015-12-31,41.91,$1.47,28.51
2015-09-30,29.2,$-0.35,0.0
2015-06-30,30.02,$-0.27,0.0
2015-03-31,32.88,$0.02,1644.0
2014-12-31,35.58,$0.18,197.67
2014-09-30,31.25,$1.64,19.05
2014-06-30,34.77,$1.46,23.82
2014-03-31,33.73,$1.42,23.75
2013-12-31,32.94,$1.42,23.2
2013-09-30,30.86,$1.53,20.17
2013-06-30,30.54,$1.77,17.25
2013-03-31,33.51,$1.97,17.01
2012-12-31,39.43,$2.23,17.68
2012-09-30,38.14,$2.42,15.76
2012-06-30,34.51,$2.51,13.75
2012-03-31,38.2,$2.49,15.34
2011-12-31,33.57,$2.41,13.93
2011-09-30,25.89,$2.18,11.88
2011-06-30,43.72,$1.84,23.76
2011-03-31,32.44,$1.59,20.4
2010-12-31,33.68,$1.40,24.06
2010-09-30,27.01,$1.25,21.61
2010-06-30,17.84,$1.13,15.79
2010-03-31,26.1,$0.74,35.27
2009-12-31,21.69,$0.36,60.25
