Consumer Portfolio Services PE Ratio Historical Data,Consumer Portfolio Services PE Ratio Historical Data,Consumer Portfolio Services PE Ratio Historical Data,Consumer Portfolio Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.98,,15.48
2024-12-31,10.86,$0.58,18.72
2024-09-30,9.38,$0.87,10.78
2024-06-30,9.8,$1.08,9.07
2024-03-31,7.56,$1.44,5.25
2023-12-31,9.37,$1.79,5.23
2023-09-30,9.07,$2.09,4.34
2023-06-30,11.67,$2.63,4.44
2023-03-31,10.69,$2.99,3.58
2022-12-31,8.85,$3.20,2.77
2022-09-30,7.27,$3.32,2.19
2022-06-30,10.25,$2.89,3.55
2022-03-31,10.16,$2.37,4.29
2021-12-31,11.85,$1.83,6.48
2021-09-30,5.8,$1.29,4.5
2021-06-30,4.5,$0.93,4.84
2021-03-31,4.03,$0.67,6.01
2020-12-31,4.24,$0.91,4.66
2020-09-30,3.3,$0.74,4.46
2020-06-30,2.83,$0.66,4.29
2020-03-31,1.36,$0.61,2.23
2019-12-31,3.37,$0.23,14.65
2019-09-30,3.59,$0.45,7.98
2019-06-30,3.8,$0.50,7.6
2019-03-31,3.49,$0.55,6.35
2018-12-31,3.01,$0.60,5.02
2018-09-30,3.7,$-0.08,0.0
2018-06-30,4.07,$-0.04,0.0
2018-03-31,3.77,0,0.0
2017-12-31,4.15,$0.04,103.75
2017-09-30,4.56,$0.76,6.0
2017-06-30,4.55,$0.85,5.35
2017-03-31,4.71,$0.93,5.06
2016-12-31,5.12,$1.01,5.07
2016-09-30,4.59,$1.04,4.41
2016-06-30,3.77,$1.06,3.56
2016-03-31,4.23,$1.08,3.92
2015-12-31,5.19,$1.10,4.72
2015-09-30,4.98,$1.06,4.7
2015-06-30,6.25,$1.02,6.13
2015-03-31,6.99,$0.97,7.21
2014-12-31,7.36,$0.92,8.0
2014-09-30,6.41,$0.88,7.28
2014-06-30,7.62,$0.83,9.18
2014-03-31,6.84,$0.76,9.0
2013-12-31,9.39,$0.67,14.01
2013-09-30,5.93,$2.66,2.23
2013-06-30,7.34,$2.58,2.84
2013-03-31,11.71,$2.48,4.72
2012-12-31,5.36,$2.38,2.25
2012-09-30,3.0,$0.19,15.79
2012-06-30,1.92,$-0.12,0.0
2012-03-31,1.25,$-0.52,0.0
2011-12-31,0.89,$-0.77,0.0
2011-09-30,0.99,$-1.62,0.0
2011-06-30,1.18,$-1.68,0.0
2011-03-31,1.15,$-1.84,0.0
2010-12-31,1.19,$-1.94,0.0
2010-09-30,0.89,$-3.65,0.0
2010-06-30,1.37,$-3.62,0.0
2010-03-31,2.25,$-3.43,0.0
2009-12-31,1.17,$-3.13,0.0
