Origin Bancorp PE Ratio Historical Data,Origin Bancorp PE Ratio Historical Data,Origin Bancorp PE Ratio Historical Data,Origin Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,35.41,,14.39
2024-12-31,33.29,$2.46,13.53
2024-09-30,32.02,$2.43,13.18
2024-06-30,31.43,$2.62,12.0
2024-03-31,30.81,$2.65,11.63
2023-12-31,34.91,$2.71,12.88
2023-09-30,28.2,$3.23,8.73
2023-06-30,28.49,$3.01,9.47
2023-03-31,31.09,$3.21,9.68
2022-12-31,35.35,$3.29,10.74
2022-09-30,36.92,$3.54,10.43
2022-06-30,37.12,$4.11,9.03
2022-03-31,40.29,$4.38,9.2
2021-12-31,40.77,$4.59,8.88
2021-09-30,40.12,$4.14,9.69
2021-06-30,40.09,$3.56,11.26
2021-03-31,39.93,$2.60,15.36
2020-12-31,26.06,$1.55,16.81
2020-09-30,19.97,$1.35,14.79
2020-06-30,20.49,$1.41,14.53
2020-03-31,18.76,$1.72,10.9
2019-12-31,34.96,$2.29,15.27
2019-09-30,31.09,$2.29,13.58
2019-06-30,30.41,$2.19,13.88
2019-03-31,31.34,$2.20,14.25
