"Controladora Vuela Compania De Aviacion, S.A.B De C.V PE Ratio Historical Data","Controladora Vuela Compania De Aviacion, S.A.B De C.V PE Ratio Historical Data","Controladora Vuela Compania De Aviacion, S.A.B De C.V PE Ratio Historical Data","Controladora Vuela Compania De Aviacion, S.A.B De C.V PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.59,,5.53
2024-06-30,6.36,$1.01,6.3
2024-03-31,7.42,$0.97,7.65
2023-12-31,9.38,$0.07,134.0
2023-09-30,6.79,$-0.65,0.0
2023-06-30,13.95,$-0.02,0.0
2023-03-31,12.44,$-0.49,0.0
2022-12-31,8.36,$-0.30,0.0
2022-09-30,6.99,$0.13,53.77
2022-06-30,10.27,$-0.48,0.0
2022-03-31,18.19,$0.37,49.16
2021-06-30,19.21,$-0.17,0.0
2021-03-31,14.26,$-1.55,0.0
2020-12-31,12.42,$-1.87,0.0
2020-09-30,7.21,$-1.62,0.0
2020-06-30,5.28,$-0.30,0.0
2020-03-31,3.43,$0.47,7.3
2019-12-31,10.42,$1.36,7.66
2019-09-30,10.01,$0.94,10.65
2019-06-30,9.38,$0.52,18.04
2019-03-31,8.52,$0.48,17.75
2018-12-31,5.35,$-0.38,0.0
2018-09-30,7.46,$-0.36,0.0
2018-06-30,5.08,$0.10,50.8
2018-03-31,8.15,$-0.21,0.0
2017-12-31,8.02,$-0.32,0.0
2017-09-30,11.87,$-0.14,0.0
2017-06-30,14.55,$-0.03,0.0
2017-03-31,13.94,$0.75,18.59
2016-12-31,15.04,$1.80,8.36
2016-09-30,17.39,$1.72,10.11
2016-06-30,18.69,$1.88,9.94
2016-03-31,21.07,$1.61,13.09
2015-12-31,17.16,$1.47,11.67
2015-09-30,14.92,$1.56,9.56
2015-06-30,11.94,$1.15,10.38
2015-03-31,11.14,$0.87,12.8
2014-12-31,9.02,$0.64,14.09
2014-09-30,8.68,$0.10,86.8
2014-06-30,9.0,$0.07,128.57
