Neurogene PE Ratio Historical Data,Neurogene PE Ratio Historical Data,Neurogene PE Ratio Historical Data,Neurogene PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.23,,0.0
2024-09-30,41.96,$-3.28,0.0
2024-06-30,36.39,$-3.73,0.0
2024-03-31,50.9,$-3.44,0.0
2023-12-31,19.38,$-7.64,0.0
2023-09-30,15.8,$-12.44,0.0
2023-06-30,16.6,$-15.60,0.0
2023-03-31,14.0,$-20.40,0.0
2022-12-31,10.18,$-20.80,0.0
2022-09-30,12.8,$-21.60,0.0
2022-06-30,20.6,$-22.40,0.0
2022-03-31,37.6,$-22.20,0.0
2021-12-31,96.4,$-22.00,0.0
2021-09-30,144.6,$-21.20,0.0
2021-06-30,184.6,$-16.40,0.0
2021-03-31,246.2,$-15.00,0.0
2020-12-31,282.0,$-13.20,0.0
2020-09-30,240.0,$-13.00,0.0
2020-06-30,332.0,$-57.40,0.0
2020-03-31,227.6,$-53.40,0.0
2019-12-31,246.4,$-51.60,0.0
2019-09-30,57.0,$-51.00,0.0
2019-06-30,47.2,$-18.60,0.0
2019-03-31,53.9,$-16.20,0.0
2018-12-31,43.2,$-26.80,0.0
2018-09-30,58.6,$-36.60,0.0
2018-06-30,53.0,$-33.80,0.0
2018-03-31,281.6,$-48.00,0.0
2017-12-31,235.2,$-42.80,0.0
2017-09-30,283.8,$-38.60,0.0
2017-06-30,281.4,$-37.80,0.0
2017-03-31,333.8,$-38.60,0.0
2016-12-31,330.2,$-39.20,0.0
2016-09-30,267.2,$-35.00,0.0
2016-06-30,132.4,$-34.40,0.0
2016-03-31,176.4,$-30.60,0.0
2015-12-31,249.6,$-34.80,0.0
2015-09-30,281.4,$-45.00,0.0
2015-06-30,138.8,$-48.20,0.0
2015-03-31,164.4,$-49.60,0.0
2014-12-31,150.0,$-63.20,0.0
