Weyco PE Ratio Historical Data,Weyco PE Ratio Historical Data,Weyco PE Ratio Historical Data,Weyco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.35,,13.84
2024-12-31,37.55,$2.12,17.71
2024-09-30,32.05,$3.02,10.61
2024-06-30,28.33,$3.16,8.96
2024-03-31,29.53,$3.07,9.62
2023-12-31,28.8,$3.16,9.11
2023-09-30,23.08,$3.32,6.95
2023-06-30,24.07,$3.46,6.96
2023-03-31,22.61,$3.43,6.59
2022-12-31,18.71,$3.07,6.09
2022-09-30,17.81,$3.08,5.78
2022-06-30,21.24,$2.48,8.56
2022-03-31,21.28,$2.40,8.87
2021-12-31,20.41,$2.12,9.63
2021-09-30,19.13,$1.57,12.18
2021-06-30,18.69,$0.45,41.54
2021-03-31,17.87,$-0.85,0.0
2020-12-31,12.95,$-0.87,0.0
2020-09-30,13.05,$-0.49,0.0
2020-06-30,17.19,$0.77,22.33
2020-03-31,15.86,$1.83,8.67
2019-12-31,20.51,$2.11,9.72
2019-09-30,17.37,$2.14,8.11
2019-06-30,20.32,$2.08,9.77
2019-03-31,23.33,$2.08,11.22
2018-12-31,21.83,$1.97,11.08
2018-09-30,26.14,$1.83,14.28
2018-06-30,26.88,$1.71,15.72
2018-03-31,24.65,$1.68,14.67
2017-12-31,21.65,$1.60,13.53
2017-09-30,20.51,$1.59,12.9
2017-06-30,19.99,$1.55,12.9
2017-03-31,19.97,$1.52,13.14
2016-12-31,22.09,$1.56,14.16
2016-09-30,18.82,$1.43,13.16
2016-06-30,19.3,$1.50,12.87
2016-03-31,18.35,$1.60,11.47
2015-12-31,18.3,$1.68,10.9
2015-09-30,18.36,$1.78,10.31
2015-06-30,20.1,$1.78,11.29
2015-03-31,20.01,$1.79,11.18
2014-12-31,19.72,$1.75,11.27
2014-09-30,16.58,$1.62,10.23
2014-06-30,17.97,$1.61,11.16
2014-03-31,17.59,$1.61,10.93
2013-12-31,19.04,$1.62,11.75
2013-09-30,18.2,$1.71,10.65
2013-06-30,16.08,$1.69,9.52
2013-03-31,15.53,$1.69,9.19
2012-12-31,14.8,$1.74,8.5
2012-09-30,15.2,$1.53,9.94
2012-06-30,14.37,$1.45,9.91
2012-03-31,14.58,$1.42,10.27
2011-12-31,15.01,$1.37,10.95
2011-09-30,13.54,$1.32,10.26
2011-06-30,14.84,$1.22,12.16
2011-03-31,14.65,$1.16,12.63
2010-12-31,14.57,$1.20,12.14
2010-09-30,14.32,$1.16,12.34
2010-06-30,13.37,$1.15,11.63
2010-03-31,13.71,$1.23,11.15
2009-12-31,13.7,$1.11,12.34
