United-Guardian PE Ratio Historical Data,United-Guardian PE Ratio Historical Data,United-Guardian PE Ratio Historical Data,United-Guardian PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.91,,13.04
2024-09-30,15.88,$0.76,20.89
2024-06-30,8.68,$0.71,12.22
2024-03-31,7.43,$0.60,12.38
2023-12-31,6.81,$0.56,12.15
2023-09-30,7.12,$0.55,12.94
2023-06-30,7.71,$0.48,16.07
2023-03-31,8.78,$0.52,16.88
2022-12-31,9.75,$0.56,17.41
2022-09-30,10.33,$0.65,15.9
2022-06-30,13.64,$0.80,17.05
2022-03-31,20.23,$0.95,21.3
2021-12-31,14.64,$1.01,14.49
2021-09-30,12.14,$0.90,13.49
2021-06-30,12.83,$0.84,15.28
2021-03-31,12.59,$0.81,15.55
2020-12-31,11.95,$0.72,16.6
2020-09-30,12.29,$0.90,13.66
2020-06-30,12.01,$0.97,12.39
2020-03-31,11.45,$0.94,12.18
2019-12-31,15.57,$1.04,14.97
2019-09-30,14.62,$0.86,17.0
2019-06-30,14.5,$0.92,15.76
2019-03-31,14.37,$0.99,14.51
2018-12-31,13.76,$0.95,14.48
2018-09-30,11.74,$1.04,11.29
2018-06-30,13.92,$0.99,14.06
2018-03-31,12.61,$0.93,13.55
2017-12-31,13.11,$0.84,15.61
2017-09-30,13.15,$0.78,16.86
2017-06-30,10.42,$0.74,14.08
2017-03-31,9.77,$0.59,16.56
2016-12-31,10.2,$0.56,18.21
2016-09-30,9.41,$0.49,19.21
2016-06-30,10.31,$0.55,18.75
2016-03-31,13.0,$0.79,16.46
2015-12-31,12.05,$1.00,12.05
2015-09-30,11.04,$1.22,9.05
2015-06-30,11.7,$1.05,11.14
2015-03-31,11.17,$0.92,12.15
2014-12-31,11.88,$0.89,13.35
2014-09-30,13.17,$0.95,13.86
2014-06-30,16.88,$1.14,14.8
2014-03-31,17.01,$1.23,13.83
2013-12-31,16.38,$1.28,12.8
2013-09-30,14.31,$1.19,12.02
2013-06-30,13.93,$1.15,12.12
2013-03-31,10.89,$1.12,9.72
2012-12-31,11.04,$1.05,10.51
2012-09-30,10.12,$0.98,10.32
2012-06-30,9.91,$1.04,9.53
2012-03-31,9.64,$1.05,9.18
2011-12-31,8.01,$1.03,7.77
2011-09-30,7.61,$1.00,7.61
2011-06-30,7.44,$0.97,7.67
2011-03-31,7.52,$0.83,9.06
2010-12-31,6.97,$0.80,8.72
2010-09-30,6.94,$0.80,8.68
2010-06-30,5.76,$0.75,7.68
2010-03-31,6.03,$0.77,7.83
2009-12-31,5.45,$0.78,6.99
