Crescent Capital BDC PE Ratio Historical Data,Crescent Capital BDC PE Ratio Historical Data,Crescent Capital BDC PE Ratio Historical Data,Crescent Capital BDC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.74,,8.91
2024-12-31,19.22,$1.99,9.66
2024-09-30,18.43,$2.55,7.23
2024-06-30,18.21,$2.75,6.62
2024-03-31,16.27,$2.81,5.79
2023-12-31,15.9,$2.29,6.94
2023-09-30,15.2,$1.54,9.87
2023-06-30,13.08,$0.85,15.39
2023-03-31,11.45,$0.21,54.51
2022-12-31,10.43,$0.49,21.28
2022-09-30,11.87,$0.84,14.13
2022-06-30,11.9,$1.51,7.88
2022-03-31,13.27,$2.70,4.91
2021-12-31,12.78,$2.94,4.35
2021-09-30,13.54,$3.76,3.6
2021-06-30,13.0,$4.53,2.87
2021-03-31,11.65,$5.37,2.17
2020-12-31,9.65,$1.77,5.45
