Waterdrop PE Ratio Historical Data,Waterdrop PE Ratio Historical Data,Waterdrop PE Ratio Historical Data,Waterdrop PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.53,,12.75
2024-09-30,1.2,$0.12,10.0
2024-06-30,1.13,$0.09,12.56
2024-03-31,1.29,$0.06,21.5
2023-12-31,1.04,$0.05,20.8
2023-09-30,1.16,$0.07,16.57
2023-06-30,2.08,$0.12,17.33
2023-03-31,2.99,$0.20,14.95
2022-12-31,3.33,$0.22,15.14
2022-09-30,1.09,$0.15,7.27
2022-06-30,1.28,$-0.10,0.0
2022-03-31,1.48,$-0.56,0.0
