Urogen Pharma PE Ratio Historical Data,Urogen Pharma PE Ratio Historical Data,Urogen Pharma PE Ratio Historical Data,Urogen Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.02,,0.0
2024-12-31,10.65,$-3.23,0.0
2024-09-30,12.7,$-3.15,0.0
2024-06-30,16.78,$-3.28,0.0
2024-03-31,15.0,$-3.40,0.0
2023-12-31,15.0,$-3.73,0.0
2023-09-30,14.01,$-4.23,0.0
2023-06-30,10.35,$-4.68,0.0
2023-03-31,9.24,$-4.83,0.0
2022-12-31,8.87,$-4.78,0.0
2022-09-30,8.32,$-4.83,0.0
2022-06-30,8.19,$-5.05,0.0
2022-03-31,8.71,$-5.04,0.0
2021-12-31,9.51,$-4.96,0.0
2021-09-30,16.82,$-5.07,0.0
2021-06-30,15.27,$-5.03,0.0
2021-03-31,19.48,$-5.30,0.0
2020-12-31,18.02,$-5.92,0.0
2020-09-30,19.29,$-6.40,0.0
2020-06-30,26.12,$-6.15,0.0
2020-03-31,17.84,$-5.79,0.0
2019-12-31,33.37,$-5.11,0.0
2019-09-30,23.83,$-4.71,0.0
2019-06-30,35.94,$-4.93,0.0
2019-03-31,36.94,$-4.99,0.0
2018-12-31,43.06,$-4.76,0.0
2018-09-30,47.23,$-4.04,0.0
2018-06-30,49.76,$-2.78,0.0
2018-03-31,49.69,$-2.34,0.0
