ArcBest PE Ratio Historical Data,ArcBest PE Ratio Historical Data,ArcBest PE Ratio Historical Data,ArcBest PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,71.8,,9.8
2024-12-31,93.32,$7.33,12.73
2024-09-30,108.33,$8.10,13.37
2024-06-30,106.85,$5.29,20.2
2024-03-31,142.04,$4.97,28.58
2023-12-31,119.72,$7.91,15.14
2023-09-30,101.13,$7.38,13.7
2023-06-30,98.19,$9.46,10.38
2023-03-31,91.72,$11.82,7.76
2022-12-31,69.43,$11.66,5.95
2022-09-30,71.98,$12.65,5.69
2022-06-30,69.54,$11.53,6.03
2022-03-31,79.43,$9.80,8.11
2021-12-31,118.15,$7.99,14.79
2021-09-30,80.55,$6.41,12.57
2021-06-30,57.25,$5.14,11.14
2021-03-31,69.17,$3.48,19.88
2020-12-31,41.88,$2.68,15.63
2020-09-30,30.42,$1.57,19.37
2020-06-30,25.89,$1.08,23.98
2020-03-31,17.04,$1.39,12.26
2019-12-31,26.75,$1.50,17.84
2019-09-30,29.44,$2.29,12.86
2019-06-30,27.1,$3.19,8.5
2019-03-31,29.6,$2.32,12.76
2018-12-31,32.87,$2.51,13.09
2018-09-30,46.48,$3.31,14.04
2018-06-30,43.68,$2.35,18.59
2018-03-31,30.58,$2.90,10.55
2017-12-31,34.03,$2.24,15.19
2017-09-30,31.76,$0.93,34.15
2017-06-30,19.5,$0.86,22.68
2017-03-31,24.5,$0.65,37.7
2016-12-31,25.99,$0.70,37.13
2016-09-30,17.83,$0.83,21.48
2016-06-30,15.16,$1.06,14.3
2016-03-31,20.05,$1.41,14.22
2015-12-31,19.78,$1.68,11.77
2015-09-30,23.76,$2.02,11.76
2015-06-30,29.26,$2.02,14.49
2015-03-31,34.81,$1.91,18.23
2014-12-31,42.54,$1.88,22.63
2014-09-30,34.17,$1.73,19.75
2014-06-30,39.82,$1.53,26.03
2014-03-31,33.79,$1.08,31.29
2013-12-31,30.77,$0.56,54.95
2013-09-30,23.43,$-0.13,0.0
2013-06-30,20.92,$-0.41,0.0
2013-03-31,10.61,$-0.15,0.0
2012-12-31,8.65,$-0.34,0.0
2012-09-30,7.16,$0.02,358.0
2012-06-30,11.35,$0.26,43.64
2012-03-31,16.9,$0.02,845.16
2011-12-31,17.29,$0.22,78.59
2011-09-30,14.47,$0.05,289.36
2011-06-30,21.23,$-0.46,0.0
2011-03-31,23.16,$-0.96,0.0
2010-12-31,24.47,$-1.30,0.0
2010-09-30,21.6,$-4.72,0.0
2010-06-30,18.47,$-4.92,0.0
2010-03-31,26.57,$-5.24,0.0
2009-12-31,26.14,$-5.12,0.0
