GSI Technology PE Ratio Historical Data,GSI Technology PE Ratio Historical Data,GSI Technology PE Ratio Historical Data,GSI Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.51,,0.0
2024-12-31,3.03,$-0.50,0.0
2024-09-30,3.05,$-0.60,0.0
2024-06-30,2.65,$-0.55,0.0
2024-03-31,3.4,$-0.80,0.0
2023-12-31,2.64,$-0.79,0.0
2023-09-30,2.71,$-0.73,0.0
2023-06-30,5.53,$-0.70,0.0
2023-03-31,1.72,$-0.65,0.0
2022-12-31,1.73,$-0.67,0.0
2022-09-30,2.85,$-0.66,0.0
2022-06-30,3.45,$-0.72,0.0
2022-03-31,3.83,$-0.73,0.0
2021-12-31,4.63,$-0.76,0.0
2021-09-30,5.28,$-0.79,0.0
2021-06-30,5.62,$-0.82,0.0
2021-03-31,6.69,$-0.91,0.0
2020-12-31,7.4,$-0.86,0.0
2020-09-30,5.64,$-0.84,0.0
2020-06-30,7.18,$-0.70,0.0
2020-03-31,6.96,$-0.45,0.0
2019-12-31,7.09,$-0.29,0.0
2019-09-30,8.76,$0.01,876.0
2019-06-30,8.57,$0.07,122.43
2019-03-31,7.77,0,0.0
2018-12-31,5.14,$0.01,0.0
2018-09-30,6.9,$-0.16,0.0
2018-06-30,7.52,$-0.22,0.0
2018-03-31,7.41,$-0.21,0.0
2017-12-31,7.96,$-0.29,0.0
2017-09-30,7.27,$-0.20,0.0
2017-06-30,7.86,$-0.09,0.0
2017-03-31,8.7,$-0.01,0.0
2016-12-31,6.2,$0.06,103.33
2016-09-30,4.73,0,0.0
2016-06-30,4.17,$-0.05,0.0
2016-03-31,4.1,$-0.10,0.0
2015-12-31,3.72,$-0.22,0.0
2015-09-30,4.06,$-0.17,0.0
2015-06-30,5.21,$-0.19,0.0
2015-03-31,5.9,$-0.20,0.0
2014-12-31,4.99,$-0.28,0.0
2014-09-30,5.41,$-0.30,0.0
2014-06-30,5.96,$-0.25,0.0
2014-03-31,6.91,$-0.22,0.0
2013-12-31,6.64,$0.01,0.0
2013-09-30,7.03,$0.05,140.6
2013-06-30,6.32,$0.08,79.0
2013-03-31,6.59,$0.13,50.69
2012-12-31,6.27,$0.13,48.23
2012-09-30,4.95,$0.13,38.08
2012-06-30,4.74,$0.15,31.6
2012-03-31,4.24,$0.23,18.43
2011-12-31,4.68,$0.31,15.1
2011-09-30,4.92,$0.48,10.25
2011-06-30,7.2,$0.60,12.0
2011-03-31,9.09,$0.64,14.2
2010-12-31,8.1,$0.67,12.09
2010-09-30,5.74,$0.54,10.63
2010-06-30,5.72,$0.45,12.71
2010-03-31,4.66,$0.38,12.26
2009-12-31,4.48,$0.28,16.0
