Granite Ridge Resources PE Ratio Historical Data,Granite Ridge Resources PE Ratio Historical Data,Granite Ridge Resources PE Ratio Historical Data,Granite Ridge Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.1,,43.57
2024-12-31,6.46,$0.14,46.14
2024-09-30,5.94,$0.36,16.5
2024-06-30,6.33,$0.42,15.07
2024-03-31,6.5,$0.45,14.44
2023-12-31,6.02,$0.61,9.87
2023-09-30,6.1,$0.91,6.7
2023-06-30,6.63,$0.78,8.5
2023-03-31,5.87,$0.71,8.27
2022-12-31,9.03,$0.43,21.0
2022-09-30,9.98,0,0.0
2022-06-30,9.99,0,0.0
2022-03-31,9.85,0,0.0
2021-12-31,9.81,0,0.0
2021-09-30,9.82,0,0.0
