4D Molecular Therapeutics PE Ratio Historical Data,4D Molecular Therapeutics PE Ratio Historical Data,4D Molecular Therapeutics PE Ratio Historical Data,4D Molecular Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.75,,0.0
2024-12-31,5.57,$-2.98,0.0
2024-09-30,10.81,$-2.85,0.0
2024-06-30,20.99,$-2.30,0.0
2024-03-31,31.86,$-2.44,0.0
2023-12-31,20.26,$-2.66,0.0
2023-09-30,12.73,$-2.73,0.0
2023-06-30,18.07,$-3.28,0.0
2023-03-31,17.19,$-3.38,0.0
2022-12-31,22.21,$-3.32,0.0
2022-09-30,8.04,$-3.33,0.0
2022-06-30,6.98,$-3.36,0.0
2022-03-31,15.12,$-2.77,0.0
2021-12-31,21.94,$-2.56,0.0
2021-09-30,26.97,$-1.71,0.0
