"AMNEAL PHARMACEUTICALS, INC PE Ratio Historical Data","AMNEAL PHARMACEUTICALS, INC PE Ratio Historical Data","AMNEAL PHARMACEUTICALS, INC PE Ratio Historical Data","AMNEAL PHARMACEUTICALS, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.01,,0.0
2024-12-31,7.92,$-0.38,0.0
2024-09-30,8.32,$-0.68,0.0
2024-06-30,6.35,$-0.62,0.0
2024-03-31,6.06,$-0.56,0.0
2023-12-31,6.07,$-0.31,0.0
2023-09-30,4.22,$0.06,70.33
2023-06-30,3.1,$-0.02,0.0
2023-03-31,1.39,$-0.90,0.0
2022-12-31,1.99,$-0.86,0.0
2022-09-30,2.02,$-0.87,0.0
2022-06-30,3.18,$-0.88,0.0
2022-03-31,4.17,$0.02,208.5
2021-12-31,4.79,$0.07,68.43
2021-09-30,5.34,$0.09,59.33
2021-06-30,5.12,$0.06,85.33
2021-03-31,6.73,$-0.12,0.0
2020-12-31,4.57,$0.62,7.37
2020-09-30,3.88,$0.41,9.46
2020-06-30,4.76,$-1.56,0.0
2020-03-31,3.48,$-1.61,0.0
2019-12-31,4.82,$-2.76,0.0
2019-09-30,2.9,$-2.60,0.0
2019-06-30,7.17,$-0.52,0.0
2019-03-31,14.17,$-0.54,0.0
2018-12-31,13.53,$-0.17,0.0
