Smith-Midland PE Ratio Historical Data,Smith-Midland PE Ratio Historical Data,Smith-Midland PE Ratio Historical Data,Smith-Midland PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,32.99,,27.26
2024-09-30,33.39,$1.21,27.6
2024-06-30,27.69,$0.86,32.2
2024-03-31,46.98,$0.34,138.18
2023-12-31,39.5,$0.15,263.33
2023-09-30,19.01,$0.11,172.82
2023-06-30,23.52,$-0.13,0.0
2023-03-31,18.76,$0.19,98.74
2022-12-31,20.5,$0.15,136.67
2022-09-30,26.75,$0.15,178.33
2022-06-30,14.0,$0.86,16.28
2022-03-31,17.75,$0.88,20.17
2021-12-31,47.0,$1.45,32.41
2021-09-30,13.87,$1.58,8.78
2021-06-30,23.6,$1.17,20.17
2021-03-31,11.96,$1.07,11.18
2020-12-31,9.45,$0.51,18.53
