Allogene Therapeutics PE Ratio Historical Data,Allogene Therapeutics PE Ratio Historical Data,Allogene Therapeutics PE Ratio Historical Data,Allogene Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.63,,0.0
2024-12-31,2.13,$-1.05,0.0
2024-09-30,2.8,$-1.56,0.0
2024-06-30,2.33,$-1.61,0.0
2024-03-31,4.47,$-1.79,0.0
2023-12-31,3.21,$-2.09,0.0
2023-09-30,3.17,$-2.24,0.0
2023-06-30,4.97,$-2.45,0.0
2023-03-31,4.94,$-2.44,0.0
2022-12-31,6.29,$-2.32,0.0
2022-09-30,10.8,$-2.20,0.0
2022-06-30,11.4,$-2.19,0.0
2022-03-31,9.11,$-2.20,0.0
2021-12-31,14.92,$-1.89,0.0
2021-09-30,25.7,$-1.88,0.0
2021-06-30,26.08,$-1.83,0.0
2021-03-31,35.3,$-1.83,0.0
2020-12-31,25.24,$-2.08,0.0
2020-09-30,37.71,$-2.13,0.0
2020-06-30,42.82,$-2.11,0.0
2020-03-31,19.44,$-1.99,0.0
2019-12-31,25.98,$-1.81,0.0
2019-09-30,27.26,$-1.60,0.0
