Liberty Media - Liberty Formula One Series C PE Ratio Historical Data,Liberty Media - Liberty Formula One Series C PE Ratio Historical Data,Liberty Media - Liberty Formula One Series C PE Ratio Historical Data,Liberty Media - Liberty Formula One Series C PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,87.07,,96.74
2024-12-31,92.66,$0.90,102.96
2024-09-30,77.43,$1.15,67.33
2024-06-30,71.84,$1.06,67.77
2024-03-31,65.6,$1.37,47.88
