Thryv Holdings PE Ratio Historical Data,Thryv Holdings PE Ratio Historical Data,Thryv Holdings PE Ratio Historical Data,Thryv Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.07,,0.0
2024-12-31,14.8,$-2.09,0.0
2024-09-30,17.23,$-9.67,0.0
2024-06-30,17.82,$-7.80,0.0
2024-03-31,22.23,$-7.52,0.0
2023-12-31,20.35,$-7.49,0.0
2023-09-30,18.77,$-1.57,0.0
2023-06-30,24.6,$-0.42,0.0
2023-03-31,23.06,$0.76,30.34
2022-12-31,19.0,$1.39,13.67
2022-09-30,22.83,$2.99,7.64
2022-06-30,22.39,$3.57,6.27
2022-03-31,28.12,$2.62,10.73
2021-12-31,41.13,$2.81,14.64
2021-09-30,30.04,$5.99,5.02
