Perion Network PE Ratio Historical Data,Perion Network PE Ratio Historical Data,Perion Network PE Ratio Historical Data,Perion Network PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.15,,8.76
2024-09-30,7.88,$0.93,8.47
2024-06-30,8.35,$1.54,5.42
2024-03-31,22.48,$2.10,10.7
2023-12-31,30.87,$2.34,13.19
2023-09-30,30.63,$2.35,13.03
2023-06-30,30.67,$2.23,13.75
2023-03-31,39.58,$2.21,17.91
2022-12-31,25.3,$2.06,12.28
2022-09-30,19.29,$1.71,11.28
2022-06-30,18.18,$1.46,12.45
2022-03-31,22.49,$1.24,18.14
2021-12-31,24.05,$1.00,24.05
2021-09-30,17.33,$0.86,20.15
2021-06-30,21.42,$0.66,32.45
2021-03-31,17.9,$0.39,45.9
2020-12-31,12.73,$0.35,36.37
2020-09-30,6.98,$0.27,25.85
2020-06-30,5.23,$0.30,17.43
2020-03-31,4.89,$0.49,9.98
2019-12-31,6.22,$0.49,12.69
2019-09-30,4.89,$0.46,10.63
2019-06-30,2.91,$0.43,6.77
2019-03-31,2.65,$0.35,7.57
2018-12-31,2.6,$0.30,8.67
2018-09-30,3.01,$-1.33,0.0
2018-06-30,3.51,$-1.32,0.0
2018-03-31,2.4,$-2.73,0.0
2017-12-31,3.09,$-2.82,0.0
2017-09-30,3.48,$-1.38,0.0
2017-06-30,5.91,$-1.26,0.0
2017-03-31,5.34,$0.15,35.6
2016-12-31,4.26,$0.03,142.0
2016-09-30,3.6,$-0.66,0.0
2016-06-30,3.57,$-3.84,0.0
2016-03-31,6.03,$-3.51,0.0
2015-12-31,10.89,$-2.88,0.0
2015-09-30,6.3,$-2.58,0.0
2015-06-30,8.52,$-0.15,0.0
2015-03-31,10.08,$0.24,42.0
2014-12-31,13.2,$0.42,31.42
2014-09-30,16.68,$0.39,42.76
2014-06-30,30.3,$0.54,56.09
2014-03-31,33.15,$-0.03,0.0
2013-12-31,36.27,$0.03,1204.98
2013-09-30,39.48,$0.60,65.79
2013-06-30,34.35,$1.50,22.9
2013-03-31,29.58,$1.59,18.6
2012-12-31,26.82,$1.05,25.54
2012-09-30,21.06,$0.96,21.94
2012-06-30,12.81,$0.45,28.47
2012-03-31,15.54,$0.84,18.5
2011-12-31,11.85,$1.68,7.05
2011-09-30,13.62,$2.16,6.3
2011-06-30,21.27,$2.82,7.54
2011-03-31,21.72,$2.85,7.62
2010-12-31,22.0,$2.55,8.62
2010-09-30,16.99,$2.67,6.36
2010-06-30,11.75,$2.64,4.45
2010-03-31,16.01,$2.73,5.87
2009-12-31,24.74,$2.52,9.82
