First Seacoast Bancorp PE Ratio Historical Data,First Seacoast Bancorp PE Ratio Historical Data,First Seacoast Bancorp PE Ratio Historical Data,First Seacoast Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.25,,0.0
2024-09-30,9.07,$-1.89,0.0
2024-06-30,9.0,$-2.10,0.0
2024-03-31,8.38,$-2.64,0.0
2023-12-31,7.69,$-2.30,0.0
2023-09-30,7.38,$-0.50,0.0
2023-06-30,8.02,$-0.22,0.0
2023-03-31,8.62,$-0.07,0.0
2022-12-31,9.55,$-0.10,0.0
2022-09-30,10.33,$0.25,41.32
2022-06-30,10.69,$0.25,42.76
2022-03-31,10.6,$0.36,29.44
2021-12-31,10.67,$0.45,23.71
2021-09-30,9.75,$0.38,25.66
2021-06-30,9.81,$0.37,26.51
2021-03-31,9.95,$0.32,31.09
2020-12-31,8.88,$0.20,44.4
2020-09-30,7.74,$0.20,38.68
2020-06-30,6.15,0,0.0
