Sonoma Pharmaceuticals PE Ratio Historical Data,Sonoma Pharmaceuticals PE Ratio Historical Data,Sonoma Pharmaceuticals PE Ratio Historical Data,Sonoma Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.62,,0.0
2024-12-31,2.69,$-4.02,0.0
2024-09-30,3.07,$-4.99,0.0
2024-06-30,4.24,$-10.20,0.0
2024-03-31,3.33,$-14.60,0.0
2023-12-31,3.61,$-19.40,0.0
2023-09-30,15.44,$-30.20,0.0
2023-06-30,21.4,$-31.00,0.0
2023-03-31,19.53,$-31.00,0.0
2022-12-31,22.4,$-43.80,0.0
2022-09-30,42.6,$-37.60,0.0
2022-06-30,58.4,$-31.80,0.0
2022-03-31,80.2,$-36.40,0.0
2021-12-31,91.2,$-52.60,0.0
2021-09-30,111.6,$-52.80,0.0
2021-06-30,146.8,$-50.80,0.0
2021-03-31,148.6,$-29.60,0.0
2020-12-31,145.2,$-9.80,0.0
2020-09-30,167.4,$-17.80,0.0
2020-06-30,142.4,$-37.20,0.0
2020-03-31,98.0,$-37.20,0.0
2019-12-31,87.2,$-70.80,0.0
2019-09-30,115.2,$-103.21,0.0
2019-06-30,158.43,$-164.21,0.0
2019-03-31,169.22,$-274.02,0.0
2018-12-31,128.25,$-392.44,0.0
2018-09-30,262.8,$-477.05,0.0
2018-06-30,446.4,$-518.45,0.0
2018-03-31,662.4,$-567.06,0.0
2017-12-31,981.0,$-502.25,0.0
2017-09-30,939.6,$320.43,2.93
