Exxon PE Ratio Historical Data,Exxon PE Ratio Historical Data,Exxon PE Ratio Historical Data,Exxon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,115.9,,14.78
2024-12-31,107.57,$7.84,13.72
2024-09-30,116.27,$8.03,14.48
2024-06-30,113.28,$8.36,13.55
2024-03-31,113.46,$8.16,13.9
2023-12-31,96.68,$8.89,10.88
2023-09-30,112.68,$10.07,11.19
2023-06-30,101.92,$12.50,8.15
2023-03-31,103.32,$14.77,7.0
2022-12-31,103.12,$13.26,7.78
2022-09-30,80.98,$12.25,6.61
2022-06-30,78.69,$9.14,8.61
2022-03-31,75.12,$6.03,12.46
2021-12-31,55.04,$5.39,10.21
2021-09-30,52.19,$-1.39,0.0
2021-06-30,55.14,$-3.11,0.0
2021-03-31,48.1,$-4.47,0.0
2020-12-31,34.92,$-5.25,0.0
2020-09-30,28.41,$0.78,36.42
2020-06-30,36.29,$1.68,21.6
2020-03-31,30.22,$2.67,11.32
2019-12-31,54.74,$3.36,16.29
2019-09-30,54.72,$3.44,15.91
2019-06-30,58.65,$4.15,14.13
2019-03-31,61.14,$4.34,14.09
2018-12-31,51.04,$4.88,10.46
2018-09-30,62.99,$5.44,11.58
2018-06-30,60.67,$4.91,12.36
2018-03-31,54.17,$4.77,11.36
2017-12-31,60.11,$4.63,12.98
2017-09-30,58.38,$3.07,19.02
2017-06-30,56.93,$2.77,20.55
2017-03-31,57.3,$2.40,23.87
2016-12-31,62.49,$1.88,33.24
2016-09-30,59.9,$2.14,27.99
2016-06-30,63.78,$2.52,25.31
2016-03-31,56.4,$3.11,18.13
2015-12-31,52.12,$3.85,13.54
2015-09-30,49.27,$4.74,10.39
2015-06-30,54.62,$5.62,9.72
2015-03-31,55.34,$6.67,8.3
2014-12-31,59.74,$7.60,7.86
2014-09-30,60.34,$7.95,7.59
2014-06-30,64.14,$7.85,8.17
2014-03-31,61.81,$7.35,8.41
2013-12-31,63.59,$7.37,8.63
2013-09-30,53.7,$7.66,7.01
2013-06-30,56.0,$7.96,7.04
2013-03-31,55.47,$9.82,5.65
2012-12-31,52.94,$9.70,5.46
2012-09-30,55.57,$9.47,5.87
2012-06-30,51.67,$9.51,5.43
2012-03-31,52.01,$8.28,6.28
2011-12-31,50.55,$8.42,6.0
2011-09-30,43.06,$8.30,5.19
2011-06-30,47.92,$7.61,6.3
2011-03-31,49.25,$7.03,7.01
2010-12-31,42.58,$6.22,6.85
2010-09-30,35.76,$5.64,6.34
2010-06-30,32.79,$5.18,6.33
2010-03-31,38.22,$4.39,8.71
2009-12-31,38.66,$3.98,9.71
