Simon Property PE Ratio Historical Data,Simon Property PE Ratio Historical Data,Simon Property PE Ratio Historical Data,Simon Property PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,164.45,,22.65
2024-12-31,172.21,$7.26,23.72
2024-09-30,167.09,$7.51,22.25
2024-06-30,148.19,$7.87,18.83
2024-03-31,152.77,$7.85,19.46
2023-12-31,137.46,$6.98,19.69
2023-09-30,102.62,$6.75,15.2
2023-06-30,107.91,$6.58,16.4
2023-03-31,102.89,$6.60,15.59
2022-12-31,106.33,$6.52,16.31
2022-09-30,80.0,$5.99,13.36
2022-06-30,83.19,$6.41,12.98
2022-03-31,113.51,$6.78,16.74
2021-12-31,136.15,$6.84,19.91
2021-09-30,109.57,$6.17,17.76
2021-06-30,107.62,$4.58,23.5
2021-03-31,92.78,$3.53,26.28
2020-12-31,69.55,$3.60,19.32
2020-09-30,51.0,$4.40,11.59
2020-06-30,52.79,$5.69,9.28
2020-03-31,42.35,$6.46,6.56
2019-12-31,113.28,$6.81,16.63
2019-09-30,116.77,$7.45,15.67
2019-06-30,118.18,$7.48,15.8
2019-03-31,133.22,$7.65,17.41
2018-12-31,121.47,$7.87,15.43
2018-09-30,126.42,$7.41,17.06
2018-06-30,120.37,$7.26,16.58
2018-03-31,107.8,$6.72,16.04
2017-12-31,118.46,$6.25,18.95
2017-09-30,109.79,$5.67,19.36
2017-06-30,109.05,$5.63,19.37
2017-03-31,114.69,$5.85,19.61
2016-12-31,117.32,$5.87,19.99
2016-09-30,135.49,$5.88,23.04
2016-06-30,140.88,$5.63,25.02
2016-03-31,133.81,$5.70,23.48
2015-12-31,124.18,$5.31,23.39
2015-09-30,116.36,$5.34,21.79
2015-06-30,108.7,$4.79,22.69
2015-03-31,121.9,$4.58,26.62
2014-12-31,112.65,$4.52,24.92
2014-09-30,100.97,$4.45,22.69
2014-06-30,101.33,$4.64,21.84
2014-03-31,93.38,$4.43,21.08
2013-12-31,85.96,$4.24,20.27
2013-09-30,83.08,$4.02,20.67
2013-06-30,87.84,$3.86,22.76
2013-03-31,87.64,$3.47,25.26
2012-12-31,86.77,$4.74,18.31
2012-09-30,82.71,$4.97,16.64
2012-06-30,84.24,$5.06,16.65
2012-03-31,78.33,$5.05,15.51
2011-12-31,68.85,$3.48,19.79
2011-09-30,58.21,$2.98,19.53
2011-06-30,61.1,$2.84,21.51
2011-03-31,55.94,$2.66,21.03
2010-12-31,51.55,$2.08,24.78
2010-09-30,47.67,$1.66,28.72
2010-06-30,41.23,$1.25,32.99
2010-03-31,42.56,$0.65,65.48
2009-12-31,40.14,$1.07,37.52
