Bridger Aerospaces PE Ratio Historical Data,Bridger Aerospaces PE Ratio Historical Data,Bridger Aerospaces PE Ratio Historical Data,Bridger Aerospaces PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.53,,0.0
2024-12-31,2.13,$-0.57,0.0
2024-09-30,2.22,$-1.37,0.0
2024-06-30,3.74,$-1.53,0.0
2024-03-31,5.02,$-1.75,0.0
2023-12-31,6.91,$-0.41,0.0
2023-09-30,8.47,$-0.18,0.0
2023-06-30,5.6,$-0.33,0.0
2023-03-31,4.55,$0.22,20.68
2022-12-31,10.13,$-0.57,0.0
2022-09-30,9.95,0,0.0
2022-06-30,9.83,0,0.0
2022-03-31,9.81,0,0.0
2021-12-31,9.76,0,0.0
