Territorial Bancorp PE Ratio Historical Data,Territorial Bancorp PE Ratio Historical Data,Territorial Bancorp PE Ratio Historical Data,Territorial Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.19,,0.0
2024-09-30,10.43,$-0.26,0.0
2024-06-30,8.08,$-0.01,0.0
2024-03-31,8.03,$0.25,32.13
2023-12-31,11.05,$0.57,19.39
2023-09-30,8.95,$0.92,9.73
2023-06-30,11.85,$1.26,9.4
2023-03-31,18.22,$1.55,11.76
2022-12-31,22.45,$1.81,12.4
2022-09-30,17.06,$1.88,9.08
2022-06-30,18.99,$1.90,10.0
2022-03-31,21.63,$1.88,11.5
2021-12-31,22.55,$1.91,11.81
2021-09-30,22.38,$2.05,10.92
2021-06-30,22.7,$2.06,11.02
2021-03-31,22.92,$2.09,10.96
2020-12-31,20.53,$2.02,10.16
2020-09-30,17.12,$1.96,8.73
2020-06-30,19.93,$2.06,9.67
2020-03-31,20.36,$2.13,9.56
2019-12-31,25.47,$2.35,10.84
2019-09-30,22.98,$2.31,9.95
2019-06-30,24.76,$2.25,11.0
2019-03-31,21.56,$2.24,9.63
2018-12-31,20.65,$2.05,10.07
2018-09-30,23.13,$1.78,13.0
2018-06-30,24.01,$1.71,14.04
2018-03-31,22.83,$1.63,14.0
2017-12-31,23.6,$1.58,14.94
2017-09-30,23.75,$1.81,13.12
2017-06-30,23.24,$1.82,12.77
2017-03-31,23.07,$1.80,12.82
2016-12-31,24.16,$1.75,13.8
2016-09-30,20.82,$1.69,12.32
2016-06-30,19.11,$1.64,11.65
2016-03-31,18.68,$1.62,11.53
2015-12-31,19.75,$1.59,12.42
2015-09-30,18.36,$1.56,11.77
2015-06-30,16.99,$1.53,11.11
2015-03-31,16.53,$1.52,10.87
2014-12-31,14.88,$1.51,9.85
2014-09-30,13.84,$1.51,9.17
2014-06-30,14.14,$1.53,9.24
2014-03-31,14.52,$1.49,9.75
2013-12-31,15.5,$1.48,10.47
2013-09-30,14.53,$1.48,9.81
2013-06-30,14.86,$1.45,10.25
2013-03-31,15.55,$1.46,10.65
2012-12-31,14.86,$1.44,10.32
2012-09-30,14.78,$1.40,10.56
2012-06-30,14.6,$1.32,11.06
2012-03-31,13.27,$1.25,10.62
2011-12-31,12.54,$1.17,10.71
2011-09-30,12.1,$1.12,10.8
2011-06-30,13.03,$1.12,11.64
2011-03-31,12.47,$1.11,11.24
2010-12-31,12.42,$0.98,12.68
2010-09-30,10.46,$0.97,10.78
2010-06-30,11.73,$0.75,15.64
