Scholastic PE Ratio Historical Data,Scholastic PE Ratio Historical Data,Scholastic PE Ratio Historical Data,Scholastic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.8,,0.0
2024-11-30,26.38,$-0.18,0.0
2024-08-31,31.63,$0.56,56.47
2024-05-31,35.77,$0.42,85.16
2024-02-29,38.67,$1.45,26.67
2023-11-30,37.06,$1.79,20.7
2023-08-31,42.15,$1.46,28.87
2023-05-31,41.02,$2.48,16.54
2023-02-28,43.81,$1.68,26.08
2022-11-30,39.32,$1.81,21.72
2022-08-31,43.66,$1.60,27.29
2022-05-31,35.54,$2.23,15.94
2022-02-28,39.69,$0.99,40.09
2021-11-30,35.37,$1.02,34.68
2021-08-31,31.11,$0.13,239.28
2021-05-31,31.38,$-0.33,0.0
2021-02-28,26.7,$-0.93,0.0
2020-11-30,21.86,$-1.77,0.0
2020-08-31,20.58,$-0.77,0.0
2020-05-31,26.72,$-1.29,0.0
2020-02-29,29.02,$-0.41,0.0
2019-11-30,33.43,$0.48,69.64
2019-08-31,31.45,$0.45,69.89
2019-05-31,29.55,$0.38,77.76
2019-02-28,37.64,$1.31,28.73
2018-11-30,40.96,$0.26,157.54
2018-08-31,37.13,$-0.13,0.0
2018-05-31,39.6,$-0.19,0.0
2018-02-28,31.93,$-0.52,0.0
2017-11-30,35.92,$0.45,79.83
2017-08-31,34.31,$0.77,44.56
2017-05-31,36.86,$1.43,25.78
2017-02-28,38.93,$1.30,29.94
2016-11-30,37.96,$1.48,25.65
2016-08-31,34.53,$1.40,24.66
2016-05-31,33.37,$1.07,31.19
2016-02-29,29.81,$8.40,3.55
2015-11-30,36.2,$7.98,4.54
2015-08-31,36.48,$8.19,4.45
2015-05-31,37.39,$8.62,4.34
2015-02-28,31.02,$1.17,26.51
2014-11-30,29.63,$1.47,20.16
2014-08-31,29.11,$1.22,23.86
2014-05-31,26.38,$1.33,19.83
2014-02-28,29.05,$1.14,25.48
2013-11-30,25.04,$0.89,28.13
2013-08-31,24.07,$0.98,24.56
2013-05-31,24.56,$0.90,27.29
2013-02-28,24.33,$2.00,12.17
2012-11-30,22.59,$2.30,9.82
2012-08-31,24.5,$3.01,8.14
2012-05-31,21.53,$3.16,6.81
2012-02-29,24.32,$2.18,11.16
2011-11-30,21.44,$1.70,12.61
2011-08-31,21.91,$1.24,17.67
2011-05-31,21.43,$1.13,18.96
2011-02-28,24.6,$1.14,21.58
2010-11-30,21.95,$1.80,12.19
2010-08-31,18.25,$1.17,15.6
2010-05-31,20.31,$1.52,13.36
2010-02-28,22.77,$1.49,15.28
2009-11-30,19.47,$0.67,29.07
