Origin Agritech PE Ratio Historical Data,Origin Agritech PE Ratio Historical Data,Origin Agritech PE Ratio Historical Data,Origin Agritech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.85,,0.0
2024-03-31,4.04,$-2.70,0.0
2017-03-31,20.3,$-3.90,0.0
2016-12-31,23.6,$-4.00,0.0
2016-09-30,23.7,$-4.30,0.0
2016-06-30,17.8,$-5.00,0.0
2016-03-31,13.2,$-4.70,0.0
2015-12-31,14.3,$-4.70,0.0
2015-09-30,13.4,$-4.90,0.0
2015-06-30,20.0,$0.90,22.22
2015-03-31,14.6,$0.70,20.86
2014-12-31,14.7,$-0.60,0.0
2014-09-30,21.6,$-0.70,0.0
2014-06-30,22.5,$-2.90,0.0
2014-03-31,22.2,$-1.40,0.0
2013-12-31,12.7,$-0.10,0.0
2013-09-30,13.8,$0.50,27.6
2013-06-30,14.0,$-0.10,0.0
2013-03-31,18.2,$1.20,15.17
2012-12-31,13.9,$0.60,23.17
2012-09-30,14.4,$-0.10,0.0
2012-06-30,14.2,$-3.10,0.0
2012-03-31,24.6,$-3.90,0.0
2011-12-31,23.6,$-3.50,0.0
2011-09-30,23.3,$-2.60,0.0
2011-06-30,39.8,$-3.50,0.0
2011-03-31,77.0,$2.30,33.48
2010-12-31,106.5,$2.60,40.96
2010-09-30,81.8,$3.10,26.39
2010-06-30,73.4,$3.00,24.47
2010-03-31,99.9,$1.10,90.82
2009-12-31,117.7,$-2.30,0.0
