BCB Bancorp (NJ) PE Ratio Historical Data,BCB Bancorp (NJ) PE Ratio Historical Data,BCB Bancorp (NJ) PE Ratio Historical Data,BCB Bancorp (NJ) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.02,,10.22
2024-12-31,11.84,$0.98,12.08
2024-09-30,12.18,$1.17,10.41
2024-06-30,10.35,$1.20,8.62
2024-03-31,10.0,$1.56,6.41
2023-12-31,12.14,$1.70,7.14
2023-09-30,10.37,$2.04,5.08
2023-06-30,10.79,$2.41,4.48
2023-03-31,11.88,$2.49,4.77
2022-12-31,16.13,$2.59,6.23
2022-09-30,14.97,$2.51,5.96
2022-06-30,15.02,$2.22,6.77
2022-03-31,15.96,$2.09,7.64
2021-12-31,13.37,$1.93,6.93
2021-09-30,12.66,$1.73,7.32
2021-06-30,11.41,$1.73,6.6
2021-03-31,11.59,$1.42,8.16
2020-12-31,9.19,$1.14,8.06
2020-09-30,6.55,$1.02,6.42
2020-06-30,7.47,$0.85,8.78
2020-03-31,8.44,$1.01,8.36
2019-12-31,10.82,$1.21,8.94
2019-09-30,9.96,$1.23,8.1
2019-06-30,10.62,$1.20,8.85
2019-03-31,10.17,$1.03,9.87
2018-12-31,7.85,$1.00,7.85
2018-09-30,10.27,$0.77,13.34
2018-06-30,11.02,$0.75,14.69
2018-03-31,11.39,$0.88,12.94
2017-12-31,10.46,$0.84,12.45
2017-09-30,9.96,$0.96,10.38
2017-06-30,10.82,$0.86,12.59
2017-03-31,11.68,$0.72,16.22
2016-12-31,9.02,$0.63,14.32
2016-09-30,7.72,$0.48,16.08
2016-06-30,6.93,$0.57,12.16
2016-03-31,6.69,$0.65,10.28
2015-12-31,6.85,$0.69,9.93
2015-09-30,6.5,$0.81,8.02
2015-06-30,7.85,$0.68,11.54
2015-03-31,7.65,$0.77,9.93
2014-12-31,7.36,$0.81,9.09
2014-09-30,8.25,$0.90,9.17
2014-06-30,8.3,$1.03,8.06
2014-03-31,7.95,$1.03,7.72
2013-12-31,8.1,$1.06,7.64
2013-09-30,6.46,$0.91,7.1
2013-06-30,6.21,$0.52,11.93
2013-03-31,5.66,$-0.14,0.0
2012-12-31,5.43,$-0.41,0.0
2012-09-30,5.98,$-0.52,0.0
2012-06-30,5.83,$-0.24,0.0
2012-03-31,5.55,$0.34,16.33
2011-12-31,5.54,$0.54,10.26
2011-09-30,4.93,$0.78,6.32
2011-06-30,6.1,$1.58,3.86
2011-03-31,5.46,$1.57,3.48
2010-12-31,5.14,$1.52,3.38
2010-09-30,4.69,$1.47,3.19
2010-06-30,4.03,$0.80,5.03
2010-03-31,4.55,$0.76,5.99
2009-12-31,4.48,$0.90,4.97
