FS KKR Capital PE Ratio Historical Data,FS KKR Capital PE Ratio Historical Data,FS KKR Capital PE Ratio Historical Data,FS KKR Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.47,,9.79
2024-12-31,21.72,$2.09,10.39
2024-09-30,19.1,$1.88,10.16
2024-06-30,18.44,$2.26,8.16
2024-03-31,17.17,$2.40,7.15
2023-12-31,17.28,$2.49,6.94
2023-09-30,16.41,$2.41,6.81
2023-06-30,15.4,$1.01,15.25
2023-03-31,14.29,$0.24,59.55
2022-12-31,13.01,$0.32,40.65
2022-09-30,12.14,$0.72,16.87
2022-06-30,13.47,$2.12,6.36
2022-03-31,15.29,$8.13,1.88
2021-12-31,13.64,$8.95,1.52
2021-09-30,13.92,$9.47,1.47
2021-06-30,13.2,$10.22,1.29
2021-03-31,11.85,$4.03,2.94
2020-12-31,9.62,$-3.18,0.0
2020-09-30,8.91,$-4.54,0.0
2020-06-30,7.58,$-5.68,0.0
2020-03-31,6.27,$-4.48,0.0
2019-12-31,12.09,$1.88,6.43
2019-09-30,11.15,$0.36,30.98
2019-06-30,11.04,$-0.40,0.0
2019-03-31,10.87,$-1.68,0.0
2018-12-31,9.02,$-2.24,0.0
2018-09-30,11.72,$-0.28,0.0
2018-06-30,11.9,$1.32,9.02
2018-03-31,11.46,$2.16,5.3
2017-12-31,11.31,$3.00,3.77
2017-09-30,12.69,$3.60,3.52
2017-06-30,13.37,$4.08,3.28
2017-03-31,13.98,$6.08,2.3
2016-12-31,14.36,$4.84,2.97
2016-09-30,12.92,$2.72,4.75
2016-06-30,12.06,$0.76,15.87
2016-03-31,11.92,$-0.72,0.0
2015-12-31,11.41,$0.64,17.82
2015-09-30,11.54,$1.76,6.56
2015-06-30,11.92,$2.76,4.32
2015-03-31,12.03,$3.00,4.01
