Ferguson PE Ratio Historical Data,Ferguson PE Ratio Historical Data,Ferguson PE Ratio Historical Data,Ferguson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,163.9,,19.68
2024-10-31,196.74,$8.33,23.62
2024-07-31,222.65,$8.53,26.1
2024-04-30,209.9,$9.15,22.94
2024-01-31,187.86,$8.60,21.84
2023-10-31,150.2,$8.82,17.03
2023-07-31,161.62,$9.12,17.72
2023-04-30,140.82,$8.99,15.66
2023-01-31,142.34,$9.86,14.44
2022-10-31,109.26,$10.03,10.89
2022-07-31,126.08,$9.70,13.0
2022-04-30,124.71,$6.98,17.87
2022-01-31,157.87,$4.48,35.24
