AFC Gamma PE Ratio Historical Data,AFC Gamma PE Ratio Historical Data,AFC Gamma PE Ratio Historical Data,AFC Gamma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.35,,7.47
2024-12-31,8.33,$0.85,9.8
2024-09-30,10.21,$0.40,25.53
2024-06-30,12.2,$0.73,16.71
2024-03-31,12.38,$0.52,23.81
2023-12-31,12.03,$1.02,11.79
2023-09-30,11.74,$1.61,7.29
2023-06-30,12.45,$1.79,6.96
2023-03-31,12.16,$1.77,6.87
2022-12-31,15.73,$1.80,8.74
2022-09-30,15.3,$2.09,7.32
2022-06-30,15.33,$1.99,7.7
2022-03-31,18.46,$1.76,10.49
2021-12-31,21.36,$1.43,14.94
