BlackRock PE Ratio Historical Data,BlackRock PE Ratio Historical Data,BlackRock PE Ratio Historical Data,BlackRock PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,954.17,,22.72
2024-12-31,1025.11,$42.00,24.41
2024-09-30,944.9,$40.52,23.32
2024-06-30,778.97,$40.28,19.34
2024-03-31,824.86,$39.35,20.96
2023-12-31,798.29,$36.51,21.86
2023-09-30,631.48,$35.65,17.71
2023-06-30,670.24,$34.24,19.57
2023-03-31,644.14,$32.24,19.98
2022-12-31,677.26,$33.95,19.95
2022-09-30,522.33,$36.29,14.39
2022-06-30,573.87,$37.93,15.13
2022-03-31,714.85,$39.79,17.97
2021-12-31,850.51,$38.21,22.26
2021-09-30,775.5,$37.60,20.63
2021-06-30,805.53,$35.58,22.64
2021-03-31,690.88,$34.51,20.02
2020-12-31,657.2,$31.89,20.61
2020-09-30,510.71,$30.16,16.93
2020-06-30,490.0,$28.44,17.23
2020-03-31,393.62,$27.00,14.58
2019-12-31,446.47,$28.46,15.69
2019-09-30,393.14,$25.95,15.15
2019-06-30,410.76,$26.34,15.59
2019-03-31,371.26,$26.55,13.98
2018-12-31,341.25,$26.62,12.82
2018-09-30,406.2,$34.91,11.64
2018-06-30,427.24,$33.15,12.89
2018-03-31,461.37,$31.75,14.53
2017-12-31,435.23,$30.30,14.36
2017-09-30,376.91,$21.36,17.65
2017-06-30,354.0,$20.84,16.99
2017-03-31,319.46,$20.35,15.7
2016-12-31,314.98,$19.04,16.54
2016-09-30,298.26,$19.02,15.68
2016-06-30,280.14,$18.76,14.93
2016-03-31,276.79,$18.87,14.67
2015-12-31,274.8,$19.79,13.89
2015-09-30,238.62,$19.45,12.27
2015-06-30,275.55,$19.82,13.9
2015-03-31,289.59,$19.70,14.7
2014-12-31,281.37,$19.26,14.61
2014-09-30,256.96,$19.35,13.28
2014-06-30,248.68,$18.19,13.67
2014-03-31,243.18,$17.66,13.77
2013-12-31,243.19,$16.88,14.41
2013-09-30,206.81,$15.95,12.97
2013-06-30,195.03,$15.39,12.67
2013-03-31,192.63,$14.28,13.49
2012-12-31,153.95,$13.80,11.16
2012-09-30,131.78,$12.92,10.2
2012-06-30,124.45,$12.50,9.96
2012-03-31,148.82,$12.63,11.78
2011-12-31,128.47,$12.38,10.38
2011-09-30,105.81,$12.68,8.34
2011-06-30,135.99,$12.28,11.07
2011-03-31,141.51,$11.28,12.54
2010-12-31,133.28,$10.56,12.62
2010-09-30,118.35,$8.83,13.4
2010-06-30,98.99,$8.27,11.97
2010-03-31,149.41,$7.65,19.53
2009-12-31,158.58,$6.10,26.0
