8x8 Inc PE Ratio Historical Data,8x8 Inc PE Ratio Historical Data,8x8 Inc PE Ratio Historical Data,8x8 Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.18,,0.0
2024-12-31,2.67,$-0.36,0.0
2024-09-30,2.04,$-0.55,0.0
2024-06-30,2.22,$-0.50,0.0
2024-03-31,2.7,$-0.55,0.0
2023-12-31,3.78,$-0.44,0.0
2023-09-30,2.52,$-0.50,0.0
2023-06-30,4.23,$-0.54,0.0
2023-03-31,4.17,$-0.63,0.0
2022-12-31,4.32,$-0.94,0.0
2022-09-30,3.45,$-1.09,0.0
2022-06-30,5.15,$-1.37,0.0
2022-03-31,12.59,$-1.55,0.0
2021-12-31,16.76,$-1.58,0.0
2021-09-30,23.39,$-1.58,0.0
2021-06-30,27.76,$-1.57,0.0
2021-03-31,32.44,$-1.57,0.0
2020-12-31,34.47,$-1.64,0.0
2020-09-30,15.55,$-1.73,0.0
2020-06-30,16.0,$-1.78,0.0
2020-03-31,13.86,$-1.74,0.0
2019-12-31,18.3,$-1.54,0.0
2019-09-30,20.72,$-1.32,0.0
2019-06-30,24.1,$-1.13,0.0
2019-03-31,20.2,$-0.93,0.0
2018-12-31,18.04,$-0.78,0.0
2018-09-30,21.25,$-1.49,0.0
2018-06-30,20.05,$-1.27,0.0
2018-03-31,18.65,$-1.13,0.0
2017-12-31,14.1,$-1.02,0.0
2017-09-30,13.5,$-0.07,0.0
2017-06-30,14.55,$-0.06,0.0
2017-03-31,15.25,$-0.05,0.0
2016-12-31,14.3,$-0.03,0.0
2016-09-30,15.43,$-0.04,0.0
2016-06-30,14.61,$-0.06,0.0
2016-03-31,10.06,$-0.06,0.0
2015-12-31,11.45,$-0.05,0.0
2015-09-30,8.27,$-0.03,0.0
2015-06-30,8.96,0,0.0
2015-03-31,8.4,$0.01,840.0
2014-12-31,9.16,$-0.01,0.0
2014-09-30,6.68,$-0.01,0.0
2014-06-30,8.08,$0.01,0.0
2014-03-31,10.81,$0.04,270.25
2013-12-31,10.15,$0.08,126.88
2013-09-30,10.07,$0.11,91.55
2013-06-30,8.24,$0.10,82.4
2013-03-31,6.85,$0.19,36.05
2012-12-31,7.38,$1.04,7.1
2012-09-30,6.56,$1.05,6.25
2012-06-30,4.2,$1.04,4.04
2012-03-31,4.2,$0.95,4.42
2011-12-31,3.17,$0.11,28.82
2011-09-30,4.06,$0.09,45.11
2011-06-30,4.89,$0.11,44.45
2011-03-31,2.81,$0.10,28.1
2010-12-31,2.38,$0.09,26.44
2010-09-30,2.15,$0.09,23.89
2010-06-30,1.25,$0.08,15.63
2010-03-31,1.45,$0.07,20.71
2009-12-31,1.5,$-0.01,0.0
