Gambling Group PE Ratio Historical Data,Gambling Group PE Ratio Historical Data,Gambling Group PE Ratio Historical Data,Gambling Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.33,,17.09
2024-09-30,10.02,$0.78,12.85
2024-06-30,8.22,$0.67,12.27
2024-03-31,9.13,$0.49,18.63
2023-12-31,9.75,$0.47,20.74
2023-09-30,13.08,$0.19,68.84
2023-06-30,10.24,$0.12,85.33
2023-03-31,9.91,$0.11,90.09
2022-12-31,9.15,$0.06,152.5
2022-09-30,7.6,$0.20,38.0
2022-06-30,7.87,$0.27,29.15
