Coffee Holding PE Ratio Historical Data,Coffee Holding PE Ratio Historical Data,Coffee Holding PE Ratio Historical Data,Coffee Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.34,,11.13
2024-10-31,3.03,$0.39,7.77
2024-07-31,2.36,$0.20,11.78
2024-04-30,1.63,$0.07,23.29
2024-01-31,1.05,$0.01,0.0
2023-10-31,0.7,$-0.14,0.0
2023-07-31,1.46,$-0.84,0.0
2023-04-30,1.59,$-0.80,0.0
2023-01-31,2.5,$-0.80,0.0
2022-10-31,2.29,$-0.66,0.0
2022-07-31,2.63,$0.07,37.57
2022-04-30,3.02,$0.03,100.67
2022-01-31,4.33,$0.15,28.86
2021-10-31,4.37,$0.22,19.86
2021-07-31,5.84,$0.07,83.49
2021-04-30,4.54,$0.16,28.35
2021-01-31,4.67,$0.19,24.6
2020-10-31,3.75,$-0.04,0.0
2020-07-31,2.76,0,0.0
2020-04-30,2.79,$-0.05,0.0
2020-01-31,3.99,$-0.18,0.0
2019-10-31,3.72,$-0.01,0.0
2019-07-31,3.98,$0.06,66.25
2019-04-30,5.0,$0.04,124.96
2019-01-31,5.98,$0.17,35.19
2018-10-31,4.28,$0.18,23.78
2018-07-31,5.36,$0.17,31.54
2018-04-30,4.11,$0.18,22.85
2018-01-31,4.21,$0.09,46.79
2017-10-31,4.1,$0.08,51.29
2017-07-31,4.09,$0.10,40.93
2017-04-30,4.84,$0.21,23.05
2017-01-31,4.48,$0.35,12.79
2016-10-31,5.1,$0.36,14.16
2016-07-31,5.65,$0.40,14.12
2016-04-30,3.65,$0.30,12.17
2016-01-31,3.32,$-0.17,0.0
2015-10-31,4.18,$-0.23,0.0
2015-07-31,4.95,$-0.03,0.0
2015-04-30,4.78,$0.06,79.67
2015-01-31,4.97,$0.58,8.57
2014-10-31,5.63,$0.78,7.22
2014-07-31,6.15,$0.53,11.6
2014-04-30,7.05,$0.09,78.28
2014-01-31,5.01,$-0.16,0.0
2013-10-31,5.25,$-0.23,0.0
2013-07-31,6.71,$-0.24,0.0
2013-04-30,6.67,$0.28,23.83
2013-01-31,6.97,$0.28,24.88
2012-10-31,6.26,$0.38,16.48
2012-07-31,5.49,$0.08,68.61
2012-04-30,9.15,$-0.08,0.0
2012-01-31,8.06,$0.20,40.3
2011-10-31,10.02,$0.15,66.8
2011-07-31,18.64,$0.55,33.9
2011-04-30,5.05,$0.60,8.41
2011-01-31,3.73,$0.53,7.03
2010-10-31,3.67,$0.44,8.35
2010-07-31,4.55,$0.64,7.12
2010-04-30,4.88,$0.71,6.87
2010-01-31,3.63,$0.63,5.77
2009-10-31,3.73,$0.60,6.21
