TransUnion PE Ratio Historical Data,TransUnion PE Ratio Historical Data,TransUnion PE Ratio Historical Data,TransUnion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,85.26,,58.4
2024-12-31,92.71,$1.46,63.5
2024-09-30,104.59,$1.15,90.95
2024-06-30,74.0,$-1.27,0.0
2024-03-31,79.52,$-1.43,0.0
2023-12-31,68.38,$-1.49,0.0
2023-09-30,71.31,$-1.28,0.0
2023-06-30,77.7,$1.20,64.75
2023-03-31,61.55,$1.41,43.65
2022-12-31,56.12,$1.39,40.37
2022-09-30,58.73,$6.42,9.15
2022-06-30,78.87,$6.60,11.95
2022-03-31,101.78,$6.77,15.03
2021-12-31,116.67,$7.18,16.25
2021-09-30,110.41,$2.44,45.25
2021-06-30,107.87,$2.38,45.32
2021-03-31,88.33,$2.08,42.47
2020-12-31,97.3,$1.79,54.36
2020-09-30,82.43,$1.69,48.78
2020-06-30,85.21,$1.64,51.96
2020-03-31,64.73,$1.81,35.76
2019-12-31,83.65,$1.81,46.21
2019-09-30,79.18,$1.91,41.46
2019-06-30,71.7,$1.67,42.93
2019-03-31,65.12,$1.43,45.54
2018-12-31,55.27,$1.44,38.38
2018-09-30,71.51,$2.20,32.51
2018-06-30,69.56,$2.32,29.98
2018-03-31,55.07,$2.37,23.24
2017-12-31,53.3,$2.32,22.98
2017-09-30,45.83,$1.30,35.26
2017-06-30,42.0,$1.16,36.21
2017-03-31,37.19,$0.91,40.87
2016-12-31,30.0,$0.65,46.15
2016-09-30,33.46,$0.48,69.71
2016-06-30,32.43,$0.24,135.13
2016-03-31,26.78,$0.13,205.98
