Capricor Therapeutics PE Ratio Historical Data,Capricor Therapeutics PE Ratio Historical Data,Capricor Therapeutics PE Ratio Historical Data,Capricor Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.36,,0.0
2024-09-30,15.21,$-1.06,0.0
2024-06-30,4.77,$-0.93,0.0
2024-03-31,6.79,$-0.87,0.0
2023-12-31,4.89,$-0.87,0.0
2023-09-30,3.42,$-1.16,0.0
2023-06-30,4.78,$-1.17,0.0
2023-03-31,4.22,$-1.17,0.0
2022-12-31,3.86,$-1.18,0.0
2022-09-30,6.0,$-1.13,0.0
2022-06-30,3.49,$-1.04,0.0
2022-03-31,3.43,$-0.96,0.0
2021-12-31,2.93,$-0.87,0.0
2021-09-30,4.02,$-0.82,0.0
2021-06-30,5.13,$-0.85,0.0
2021-03-31,4.68,$-0.87,0.0
2020-12-31,3.43,$-0.94,0.0
2020-09-30,5.25,$-1.07,0.0
2020-06-30,4.6,$-1.30,0.0
2020-03-31,1.2,$-1.66,0.0
2019-12-31,1.28,$-2.16,0.0
2019-09-30,3.7,$-2.92,0.0
2019-06-30,3.32,$-3.89,0.0
2019-03-31,4.66,$-4.70,0.0
2018-12-31,4.1,$-5.30,0.0
2018-09-30,10.5,$0.00,0.0
2018-06-30,13.4,$0.20,67.0
2018-03-31,13.6,$0.00,0.0
2017-12-31,15.8,$-0.30,0.0
2017-09-30,30.3,$-6.60,0.0
2017-06-30,8.3,$-8.30,0.0
2017-03-31,33.8,$-9.30,0.0
2016-12-31,26.6,$-10.20,0.0
2016-09-30,32.43,$-10.20,0.0
2016-06-30,39.5,$-9.10,0.0
2016-03-31,25.4,$-8.40,0.0
2015-12-31,30.74,$-8.10,0.0
2015-09-30,40.5,$-7.60,0.0
2015-06-30,50.5,$-7.10,0.0
2015-03-31,86.2,$-6.50,0.0
2014-12-31,37.5,$-5.20,0.0
2014-09-30,38.5,$-7.60,0.0
2014-06-30,44.0,$-7.80,0.0
2014-03-31,85.0,$-11.50,0.0
2013-12-31,32.5,$-10.50,0.0
2013-09-30,25.0,$-8.80,0.0
2013-06-30,25.0,$-7.30,0.0
2013-03-31,50.0,$-7.30,0.0
2012-12-31,25.0,$-17.30,0.0
2012-09-30,55.0,$-15.00,0.0
2012-06-30,50.0,$-30.00,0.0
2012-03-31,250.0,$-40.00,0.0
2011-12-31,275.0,$-45.00,0.0
2011-09-30,315.0,$-55.00,0.0
2011-06-30,390.0,$-65.00,0.0
2011-03-31,410.0,$-75.00,0.0
2010-12-31,310.0,$-95.00,0.0
2010-09-30,315.0,$-115.00,0.0
2010-06-30,165.0,$-130.00,0.0
2010-03-31,490.0,$-155.00,0.0
2009-12-31,605.0,$-155.00,0.0
