Manitowoc PE Ratio Historical Data,Manitowoc PE Ratio Historical Data,Manitowoc PE Ratio Historical Data,Manitowoc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.69,,6.25
2024-12-31,9.13,$1.55,5.89
2024-09-30,9.62,$-0.27,0.0
2024-06-30,11.53,$0.22,52.41
2024-03-31,14.14,$0.75,18.85
2023-12-31,16.69,$1.09,15.31
2023-09-30,15.05,$-2.78,0.0
2023-06-30,18.83,$-3.00,0.0
2023-03-31,17.09,$-3.15,0.0
2022-12-31,9.16,$-3.52,0.0
2022-09-30,7.75,$0.48,16.15
2022-06-30,10.53,$0.40,26.33
2022-03-31,15.08,$0.48,31.42
2021-12-31,18.59,$0.30,61.97
2021-09-30,21.42,$0.45,47.6
2021-06-30,24.5,$0.45,54.44
2021-03-31,20.62,$-0.42,0.0
2020-12-31,13.31,$-0.55,0.0
2020-09-30,8.41,$-0.34,0.0
2020-06-30,10.88,$0.18,60.44
2020-03-31,8.5,$1.84,4.62
2019-12-31,17.5,$1.31,13.36
2019-09-30,12.5,$-1.15,0.0
2019-06-30,17.8,$-1.34,0.0
2019-03-31,16.41,$-2.36,0.0
2018-12-31,14.77,$-1.89,0.0
2018-09-30,23.99,$1.28,18.74
2018-06-30,25.86,$1.24,20.85
2018-03-31,28.46,$0.97,29.34
2017-12-31,39.34,$0.21,187.33
2017-09-30,36.0,$-1.72,0.0
2017-06-30,24.04,$-6.04,0.0
2017-03-31,22.8,$-6.20,0.0
2016-12-31,23.92,$-11.12,0.0
2016-09-30,19.16,$-8.88,0.0
2016-06-30,21.8,$-4.72,0.0
2016-03-31,17.32,$-3.88,0.0
2015-12-31,14.43,$1.84,7.84
2015-09-30,14.03,$1.56,8.99
2015-06-30,18.33,$3.56,5.15
2015-03-31,20.17,$4.24,4.76
2014-12-31,20.67,$4.24,4.88
2014-09-30,21.85,$3.84,5.69
2014-06-30,30.62,$3.28,9.34
2014-03-31,29.31,$3.64,8.05
2013-12-31,21.73,$4.20,5.17
2013-09-30,18.16,$4.64,3.91
2013-06-30,16.62,$3.76,4.42
2013-03-31,19.08,$3.32,5.75
2012-12-31,14.55,$3.00,4.85
2012-09-30,12.32,$2.44,5.05
2012-06-30,10.8,$2.48,4.36
2012-03-31,12.8,$1.28,10.0
2011-12-31,8.48,$-0.32,0.0
2011-09-30,6.15,$-2.76,0.0
2011-06-30,15.44,$-3.44,0.0
2011-03-31,20.05,$-3.08,0.0
2010-12-31,12.02,$-2.20,0.0
2010-09-30,11.02,$-0.96,0.0
2010-06-30,8.32,$-1.56,0.0
2010-03-31,11.83,$-2.56,0.0
2009-12-31,9.07,$-22.00,0.0
