Comcast PE Ratio Historical Data,Comcast PE Ratio Historical Data,Comcast PE Ratio Historical Data,Comcast PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.5,,8.8
2024-12-31,37.53,$4.15,9.04
2024-09-30,41.46,$3.72,11.14
2024-06-30,38.55,$3.76,10.25
2024-03-31,42.37,$3.78,11.21
2023-12-31,42.57,$3.72,11.44
2023-09-30,42.76,$3.61,11.85
2023-06-30,39.79,$1.58,25.19
2023-03-31,36.03,$1.32,27.3
2022-12-31,32.99,$1.19,27.72
2022-09-30,27.43,$1.15,23.85
2022-06-30,36.45,$3.06,11.91
2022-03-31,43.24,$3.10,13.95
2021-12-31,46.26,$3.03,15.27
2021-09-30,51.18,$3.10,16.51
2021-06-30,51.95,$2.68,19.38
2021-03-31,49.07,$2.53,19.4
2020-12-31,47.31,$2.28,20.75
2020-09-30,41.55,$2.23,18.63
2020-06-30,35.01,$2.49,14.06
2020-03-31,30.7,$2.52,12.18
2019-12-31,39.7,$2.83,14.03
2019-09-30,39.61,$2.70,14.67
2019-06-30,36.97,$2.62,14.11
2019-03-31,34.78,$2.63,13.22
2018-12-31,29.62,$2.52,11.75
2018-09-30,30.64,$5.14,5.96
2018-06-30,28.23,$5.07,5.57
2018-03-31,29.23,$4.90,5.97
2017-12-31,34.13,$4.77,7.16
2017-09-30,32.66,$2.08,15.74
2017-06-30,33.03,$1.99,16.64
2017-03-31,31.64,$1.88,16.83
2016-12-31,29.06,$1.79,16.28
2016-09-30,27.69,$1.71,16.24
2016-06-30,27.1,$1.65,16.47
2016-03-31,25.28,$1.65,15.32
2015-12-31,23.25,$1.62,14.35
2015-09-30,23.34,$1.60,14.63
2015-06-30,24.67,$1.69,14.6
2015-03-31,23.07,$1.65,13.98
2014-12-31,23.5,$1.60,14.69
2014-09-30,21.79,$1.59,13.7
2014-06-30,21.66,$1.42,15.25
2014-03-31,20.11,$1.37,14.73
2013-12-31,20.79,$1.28,16.24
2013-09-30,17.98,$1.20,14.98
2013-06-30,16.49,$1.27,13.03
2013-03-31,16.5,$1.19,13.87
2012-12-31,14.68,$1.15,12.82
2012-09-30,13.92,$1.10,12.66
2012-06-30,12.45,$0.88,14.23
2012-03-31,11.57,$0.81,14.28
2011-12-31,9.14,$0.76,12.1
2011-09-30,7.98,$0.70,11.4
2011-06-30,9.63,$0.69,13.95
2011-03-31,9.35,$0.66,14.16
2010-12-31,8.27,$0.65,12.83
2010-09-30,6.77,$0.63,10.75
2010-06-30,6.47,$0.64,10.11
2010-03-31,6.98,$0.65,10.74
2009-12-31,6.22,$0.63,9.87
