Stereotaxis PE Ratio Historical Data,Stereotaxis PE Ratio Historical Data,Stereotaxis PE Ratio Historical Data,Stereotaxis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.04,,0.0
2024-12-31,2.28,$-0.21,0.0
2024-09-30,2.04,$-0.28,0.0
2024-06-30,1.82,$-0.27,0.0
2024-03-31,2.61,$-0.27,0.0
2023-12-31,1.75,$-0.28,0.0
2023-09-30,1.58,$-0.27,0.0
2023-06-30,1.53,$-0.27,0.0
2023-03-31,2.04,$-0.27,0.0
2022-12-31,2.07,$-0.26,0.0
2022-09-30,1.8,$-0.25,0.0
2022-06-30,1.84,$-0.25,0.0
2022-03-31,3.73,$-0.20,0.0
2021-12-31,6.2,$-0.16,0.0
2021-09-30,5.38,$-0.13,0.0
2021-06-30,9.64,$-0.09,0.0
2021-03-31,6.72,$-0.10,0.0
2020-12-31,5.09,$-0.11,0.0
2020-09-30,3.58,$-0.11,0.0
2020-06-30,4.46,$-0.08,0.0
2020-03-31,3.02,$-0.16,0.0
2019-12-31,5.29,$-0.24,0.0
2019-09-30,3.51,$-0.30,0.0
2016-06-30,0.98,$-0.35,0.0
2016-03-31,1.1,$-0.31,0.0
2015-12-31,0.74,$-0.35,0.0
2015-09-30,0.93,$-0.23,0.0
2015-06-30,1.44,$-0.18,0.0
2015-03-31,2.05,$-0.21,0.0
2014-12-31,1.48,$-0.27,0.0
2014-09-30,2.32,$-0.54,0.0
2014-06-30,3.55,$-5.03,0.0
2014-03-31,4.25,$-5.30,0.0
2013-12-31,3.62,$-5.70,0.0
2013-09-30,3.33,$-6.02,0.0
2013-06-30,1.55,$-1.78,0.0
2013-03-31,2.0,$-1.09,0.0
2012-12-31,2.55,$-1.58,0.0
2012-09-30,1.43,$-2.03,0.0
2012-06-30,2.1,$-3.08,0.0
2012-03-31,6.5,$-5.20,0.0
2011-12-31,8.24,$-5.80,0.0
2011-09-30,11.1,$-5.30,0.0
2011-06-30,35.1,$-5.00,0.0
2011-03-31,38.7,$-4.00,0.0
2010-12-31,38.3,$-4.00,0.0
2010-09-30,41.4,$-4.90,0.0
2010-06-30,33.1,$-5.30,0.0
2010-03-31,50.1,$-6.30,0.0
2009-12-31,39.3,$-6.40,0.0
