1st Source PE Ratio Historical Data,1st Source PE Ratio Historical Data,1st Source PE Ratio Historical Data,1st Source PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,61.67,,11.51
2024-12-31,58.38,$5.36,10.89
2024-09-30,59.52,$5.25,11.34
2024-06-30,52.97,$5.16,10.27
2024-03-31,51.45,$4.97,10.35
2023-12-31,53.57,$5.03,10.65
2023-09-30,40.74,$5.12,7.96
2023-06-30,40.31,$5.12,7.87
2023-03-31,41.16,$5.00,8.23
2022-12-31,50.33,$4.85,10.38
2022-09-30,43.65,$4.71,9.27
2022-06-30,42.52,$4.68,9.09
2022-03-31,43.01,$4.69,9.17
2021-12-31,45.84,$4.69,9.77
2021-09-30,43.38,$4.61,9.41
2021-06-30,42.37,$4.10,10.34
2021-03-31,43.13,$3.63,11.88
2020-12-31,36.26,$3.17,11.44
2020-09-30,27.52,$3.00,9.17
2020-06-30,31.48,$3.17,9.93
2020-03-31,28.45,$3.36,8.47
2019-12-31,45.24,$3.58,12.64
2019-09-30,39.66,$3.54,11.2
2019-06-30,40.0,$3.35,11.94
2019-03-31,38.72,$3.28,11.8
2018-12-31,34.57,$3.15,10.98
2018-09-30,44.86,$3.02,14.85
2018-06-30,45.35,$2.92,15.53
2018-03-31,42.77,$2.72,15.72
2017-12-31,41.6,$2.61,15.94
2017-09-30,42.57,$2.50,17.03
2017-06-30,40.02,$2.39,16.74
2017-03-31,39.04,$2.31,16.9
2016-12-31,36.98,$2.22,16.66
2016-09-30,29.4,$2.19,13.43
2016-06-30,26.54,$2.17,12.23
2016-03-31,25.95,$2.15,12.09
2015-12-31,25.01,$2.13,11.77
2015-09-30,24.84,$2.14,11.61
2015-06-30,24.85,$2.17,11.44
2015-03-31,23.27,$2.17,10.71
2014-12-31,24.7,$2.16,11.42
2014-09-30,20.38,$2.11,9.66
2014-06-30,21.78,$2.09,10.41
2014-03-31,22.68,$2.06,10.99
2013-12-31,22.45,$2.02,11.12
2013-09-30,18.82,$1.96,9.58
2013-06-30,16.51,$1.90,8.69
2013-03-31,16.35,$1.85,8.81
2012-12-31,15.12,$1.84,8.24
2012-09-30,15.13,$1.79,8.45
2012-06-30,15.24,$1.74,8.77
2012-03-31,16.38,$1.83,8.96
2011-12-31,16.85,$1.78,9.46
2011-09-30,13.76,$1.60,8.6
2011-06-30,13.61,$1.53,8.91
2011-03-31,13.05,$1.20,10.87
2010-12-31,13.07,$1.11,11.78
2010-09-30,11.11,$1.05,10.53
2010-06-30,10.74,$0.89,12.06
2010-03-31,11.06,$0.84,13.22
2009-12-31,10.04,$0.72,13.97
