Realty Income PE Ratio Historical Data,Realty Income PE Ratio Historical Data,Realty Income PE Ratio Historical Data,Realty Income PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,56.46,,57.61
2024-12-31,53.41,$0.98,54.5
2024-09-30,62.58,$1.05,59.6
2024-06-30,51.41,$1.08,47.6
2024-03-31,52.41,$1.08,48.52
2023-12-31,54.83,$1.26,43.52
2023-09-30,47.0,$1.32,35.6
2023-06-30,55.49,$1.34,41.41
2023-03-31,58.03,$1.42,40.87
2022-12-31,57.46,$1.42,40.47
2022-09-30,52.1,$1.07,48.7
2022-06-30,60.43,$1.06,57.01
2022-03-31,60.69,$1.02,59.5
2021-12-31,62.02,$0.94,65.98
2021-09-30,55.61,$1.26,44.14
2021-06-30,56.64,$0.99,57.21
2021-03-31,53.34,$0.97,54.99
2020-12-31,51.62,$1.15,44.89
2020-09-30,49.85,$1.21,41.2
2020-06-30,48.27,$1.46,33.06
2020-03-31,39.95,$1.46,27.37
2019-12-31,58.37,$1.39,41.99
2019-09-30,60.25,$1.29,46.71
2019-06-30,53.69,$1.31,40.99
2019-03-31,56.71,$1.34,42.32
2018-12-31,48.14,$1.26,38.2
2018-09-30,43.13,$1.19,36.25
2018-06-30,40.31,$1.17,34.46
2018-03-31,38.29,$1.13,33.88
2017-12-31,41.67,$1.11,37.54
2017-09-30,41.31,$1.22,33.86
2017-06-30,39.42,$1.17,33.69
2017-03-31,42.06,$1.14,36.89
2016-12-31,40.19,$1.12,35.88
2016-09-30,46.3,$1.10,42.09
2016-06-30,47.56,$1.09,43.63
2016-03-31,42.45,$1.07,39.68
2015-12-31,34.71,$1.09,31.84
2015-09-30,31.5,$1.10,28.64
2015-06-30,29.15,$1.10,26.5
2015-03-31,33.47,$1.08,30.99
2014-12-31,30.61,$1.04,29.43
2014-09-30,25.87,$0.98,26.4
2014-06-30,27.82,$0.93,29.91
2014-03-31,25.27,$0.93,27.17
2013-12-31,22.79,$1.06,21.5
2013-09-30,23.93,$1.01,23.69
2013-06-30,24.91,$1.00,24.91
2013-03-31,26.63,$1.02,26.11
2012-12-31,23.33,$0.86,27.12
2012-09-30,23.45,$0.91,25.77
2012-06-30,23.7,$0.98,24.18
2012-03-31,21.73,$0.99,21.95
2011-12-31,19.39,$1.04,18.64
2011-09-30,17.58,$1.06,16.58
2011-06-30,18.02,$1.04,17.33
2011-03-31,18.58,$1.02,18.21
2010-12-31,17.96,$1.00,17.96
2010-09-30,17.48,$1.00,17.48
2010-06-30,15.52,$1.01,15.37
2010-03-31,15.5,$1.03,15.04
2009-12-31,12.89,$1.03,12.51
