Insperity PE Ratio Historical Data,Insperity PE Ratio Historical Data,Insperity PE Ratio Historical Data,Insperity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,87.41,,36.27
2024-12-31,77.51,$2.41,32.16
2024-09-30,87.38,$3.15,27.74
2024-06-30,89.96,$4.24,21.22
2024-03-31,108.11,$4.09,26.43
2023-12-31,114.96,$4.46,25.78
2023-09-30,95.25,$4.93,19.32
2023-06-30,115.43,$4.75,24.3
2023-03-31,117.4,$5.29,22.19
2022-12-31,109.25,$4.64,23.55
2022-09-30,97.75,$3.90,25.06
2022-06-30,95.14,$3.62,26.28
2022-03-31,95.19,$3.40,28.0
2021-12-31,111.39,$3.19,34.92
2021-09-30,102.24,$3.05,33.52
2021-06-30,83.08,$2.86,29.05
2021-03-31,76.61,$3.54,21.64
2020-12-31,74.17,$3.53,21.01
2020-09-30,59.39,$3.93,15.11
2020-06-30,58.33,$4.05,14.4
2020-03-31,33.4,$3.41,9.79
2019-12-31,76.59,$3.68,20.81
2019-09-30,87.45,$3.76,23.26
2019-06-30,107.98,$3.99,27.06
2019-03-31,109.05,$3.88,28.11
2018-12-31,82.13,$3.21,25.59
2018-09-30,103.55,$2.98,34.75
2018-06-30,83.48,$2.58,32.42
2018-03-31,60.83,$2.33,26.16
2017-12-31,50.02,$1.99,25.13
2017-09-30,37.62,$1.86,20.28
2017-06-30,30.24,$1.73,17.48
2017-03-31,37.62,$1.63,23.15
2016-12-31,30.02,$1.55,19.43
2016-09-30,30.63,$1.45,21.12
2016-06-30,32.45,$1.36,23.86
2016-03-31,21.66,$1.28,16.92
2015-12-31,20.07,$0.79,25.57
2015-09-30,18.22,$0.79,23.07
2015-06-30,21.01,$0.72,29.38
2015-03-31,21.49,$0.61,35.52
2014-12-31,13.88,$0.52,26.69
2014-09-30,10.48,$0.49,21.38
2014-06-30,12.56,$0.52,24.16
2014-03-31,11.73,$0.56,21.13
2013-12-31,13.6,$0.63,21.75
2013-09-30,14.08,$0.69,20.41
2013-06-30,11.29,$0.72,15.68
2013-03-31,10.51,$0.76,13.83
2012-12-31,11.99,$0.78,15.47
2012-09-30,8.94,$0.82,10.97
2012-06-30,9.52,$0.67,14.21
2012-03-31,10.71,$0.69,15.64
2011-12-31,8.82,$0.58,15.2
2011-09-30,7.69,$0.52,14.79
2011-06-30,10.17,$0.58,17.53
2011-03-31,10.38,$0.56,18.71
2010-12-31,9.96,$0.44,22.9
2010-09-30,9.11,$0.23,39.62
2010-06-30,8.13,$0.21,39.65
2010-03-31,7.14,$0.22,33.21
2009-12-31,7.84,$0.34,23.39
