United Bancorp PE Ratio Historical Data,United Bancorp PE Ratio Historical Data,United Bancorp PE Ratio Historical Data,United Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.62,,13.15
2024-12-31,13.0,$0.96,13.54
2024-09-30,12.97,$1.38,9.4
2024-06-30,12.21,$1.49,8.2
2024-03-31,13.87,$1.59,8.72
2023-12-31,11.99,$1.57,7.64
2023-09-30,10.62,$1.55,6.85
2023-06-30,10.85,$1.53,7.09
2023-03-31,12.96,$1.53,8.47
2022-12-31,12.88,$1.51,8.53
2022-09-30,13.92,$1.52,9.16
2022-06-30,14.05,$1.62,8.67
2022-03-31,15.46,$1.60,9.66
2021-12-31,13.9,$1.62,8.58
2021-09-30,11.82,$1.67,7.08
2021-06-30,11.67,$1.53,7.63
2021-03-31,11.61,$1.44,8.07
2020-12-31,10.52,$1.39,7.57
2020-09-30,9.92,$1.24,8.0
2020-06-30,8.99,$1.19,7.56
2020-03-31,8.51,$1.19,7.15
2019-12-31,10.92,$1.19,9.17
2019-09-30,8.42,$0.98,8.6
2019-06-30,8.41,$0.92,9.14
2019-03-31,8.0,$0.85,9.42
2018-12-31,8.33,$0.79,10.54
2018-09-30,9.44,$0.85,11.11
2018-06-30,9.6,$0.80,12.0
2018-03-31,9.12,$0.76,12.0
2017-12-31,9.23,$0.71,13.01
2017-09-30,8.25,$0.73,11.3
2017-06-30,8.3,$0.71,11.69
2017-03-31,8.29,$0.71,11.68
2016-12-31,9.02,$0.71,12.71
2016-09-30,7.19,$0.70,10.27
2016-06-30,6.39,$0.69,9.25
2016-03-31,5.87,$0.67,8.76
2015-12-31,6.14,$0.64,9.59
2015-09-30,5.71,$0.62,9.21
2015-06-30,5.59,$0.59,9.48
2015-03-31,4.87,$0.57,8.55
2014-12-31,4.92,$0.53,9.29
2014-09-30,4.86,$0.50,9.73
2014-06-30,4.86,$0.58,8.39
2014-03-31,5.03,$0.53,9.49
2013-12-31,4.7,$0.52,9.05
2013-09-30,3.87,$0.49,7.89
2013-06-30,4.16,$0.36,11.55
2013-03-31,4.15,$0.42,9.87
2012-12-31,3.52,$0.48,7.33
2012-09-30,3.95,$0.55,7.18
2012-06-30,4.96,$0.62,8.01
2012-03-31,5.35,$0.62,8.63
2011-12-31,4.52,$0.63,7.18
2011-09-30,4.53,$0.62,7.31
2011-06-30,4.57,$0.61,7.49
2011-03-31,4.28,$0.61,7.01
2010-12-31,4.37,$0.60,7.28
2010-09-30,3.95,$0.60,6.58
2010-06-30,4.08,$0.61,6.69
2010-03-31,4.1,$0.61,6.72
2009-12-31,4.0,$0.63,6.35
