Sypris Solutions PE Ratio Historical Data,Sypris Solutions PE Ratio Historical Data,Sypris Solutions PE Ratio Historical Data,Sypris Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.61,,0.0
2024-09-30,1.6,$-0.13,0.0
2024-06-30,1.92,$-0.18,0.0
2024-03-31,1.59,$-0.17,0.0
2023-12-31,2.03,$-0.08,0.0
2023-09-30,1.91,$-0.02,0.0
2023-06-30,2.04,$-0.09,0.0
2023-03-31,1.97,$-0.13,0.0
2022-12-31,2.05,$-0.11,0.0
2022-09-30,1.86,$-0.10,0.0
2022-06-30,2.32,$0.01,232.0
2022-03-31,2.69,$0.21,12.81
2021-12-31,2.46,$0.12,20.5
2021-09-30,3.57,$0.04,89.25
2021-06-30,3.72,$0.20,18.6
2021-03-31,3.33,$0.01,333.0
2020-12-31,1.52,$0.08,19.0
2020-09-30,1.11,$0.10,11.1
2020-06-30,0.73,$-0.14,0.0
2020-03-31,0.62,$-0.05,0.0
2019-12-31,0.78,$-0.15,0.0
2019-09-30,1.05,$-0.12,0.0
2019-06-30,0.78,$-0.16,0.0
2019-03-31,1.08,$-0.19,0.0
2018-12-31,0.78,$-0.17,0.0
2018-09-30,1.36,$-0.22,0.0
2018-06-30,1.64,$-0.26,0.0
2018-03-31,1.63,$-0.45,0.0
2017-12-31,1.38,$-0.52,0.0
2017-09-30,1.44,$-0.69,0.0
2017-06-30,1.65,$0.48,3.44
2017-03-31,1.06,$0.37,2.86
2016-12-31,0.88,$0.27,3.26
2016-09-30,1.03,$0.22,4.68
2016-06-30,0.85,$-0.81,0.0
2016-03-31,0.95,$-0.98,0.0
2015-12-31,1.09,$-1.38,0.0
2015-09-30,1.21,$-1.21,0.0
2015-06-30,1.45,$-1.26,0.0
2015-03-31,2.2,$-0.81,0.0
2014-12-31,2.66,$-0.07,0.0
2014-09-30,3.26,$0.04,81.61
2014-06-30,5.51,$-0.00,0.0
2014-03-31,2.72,$-0.10,0.0
2013-12-31,2.99,$-0.52,0.0
2013-09-30,3.03,$-0.57,0.0
2013-06-30,3.1,$-0.76,0.0
2013-03-31,4.01,$-0.46,0.0
2012-12-31,3.78,$0.15,25.18
2012-09-30,6.78,$0.27,25.1
2012-06-30,6.6,$0.86,7.67
2012-03-31,3.82,$0.56,6.83
2011-12-31,3.68,$0.40,9.2
2011-09-30,2.72,$0.24,11.35
2011-06-30,3.87,$-0.16,0.0
2011-03-31,3.98,$-0.31,0.0
2010-12-31,3.99,$-0.55,0.0
2010-09-30,2.91,$0.75,3.88
2010-06-30,3.77,$0.76,4.95
2010-03-31,3.13,$0.62,5.04
2009-12-31,2.65,$0.14,18.91
