ITeos Therapeutics PE Ratio Historical Data,ITeos Therapeutics PE Ratio Historical Data,ITeos Therapeutics PE Ratio Historical Data,ITeos Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.89,,0.0
2024-12-31,7.68,$-3.31,0.0
2024-09-30,10.21,$-3.15,0.0
2024-06-30,14.84,$-3.00,0.0
2024-03-31,13.64,$-3.78,0.0
2023-12-31,10.95,$-3.15,0.0
2023-09-30,10.95,$-1.73,0.0
2023-06-30,13.24,$-0.80,0.0
2023-03-31,13.61,$0.31,43.9
2022-12-31,19.53,$2.57,7.6
2022-09-30,19.05,$6.88,2.77
2022-06-30,20.6,$8.71,2.37
2022-03-31,32.18,$7.81,4.12
2021-12-31,46.56,$5.60,8.31
2021-09-30,27.0,$0.29,93.1
2021-06-30,25.65,$-2.05,0.0
