GH Research PE Ratio Historical Data,GH Research PE Ratio Historical Data,GH Research PE Ratio Historical Data,GH Research PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.07,,0.0
2024-12-31,7.0,$-0.75,0.0
2024-09-30,6.69,$-0.79,0.0
2024-06-30,11.66,$-0.67,0.0
2024-03-31,10.66,$-0.62,0.0
2023-12-31,5.8,$-0.68,0.0
2023-09-30,10.05,$-0.79,0.0
2023-06-30,11.87,$-0.69,0.0
2023-03-31,7.99,$-0.53,0.0
2022-12-31,9.72,$-0.43,0.0
2022-09-30,11.62,$-0.20,0.0
2022-06-30,9.98,$-0.23,0.0
2022-03-31,18.29,$-0.29,0.0
